Symbol,ID
Ccr10,12777
Ackr3,12778
Abcc2,12780
Cnbp,12785
Cnga1,12788
Cnga2,12789
Cnga3,12790
Cnih1,12793
Cnih2,12794
Plk3,12795
Camp,12796
Cnn1,12797
Cnn2,12798
Cnp,12799
Cnr1,12801
Cnr2,12802
Cntf,12803
Cntfr,12804
Cntn1,12805
Hps3,12807
Cobl,12808
Coch,12810
Coil,12812
Col10a1,12813
Col11a1,12814
Col11a2,12815
Col12a1,12816
Col13a1,12817
Col14a1,12818
Col15a1,12819
Col17a1,12821
Col18a1,12822
Col19a1,12823
Col2a1,12824
Col3a1,12825
Col4a1,12826
Col4a2,12827
Col4a3,12828
Col4a4,12829
Col4a5,12830
Col5a1,12831
Col5a2,12832
Col6a1,12833
Col6a2,12834
Col6a3,12835
Col7a1,12836
Col8a1,12837
Col9a1,12839
Col9a2,12840
Col9a3,12841
Col1a1,12842
Col1a2,12843
Comp,12845
Comt,12846
Copa,12847
Cops2,12848
Coq7,12850
Cort,12854
Cox17,12856
Cox4i1,12857
Cox5a,12858
Cox5b,12859
Cox6a1,12861
Cox6a2,12862
Cox6c,12864
Cox7a1,12865
Cox7a2,12866
Cox7c,12867
Cox8a,12868
Cox8b,12869
Cp,12870
Cpa3,12873
Cpd,12874
Cpe,12876
Cpeb1,12877
Cys1,12879
Cplx1,12889
Cplx2,12890
Cpne6,12891
Cpox,12892
Cpt1a,12894
Cpt1b,12895
Cpt2,12896
Cr2,12902
Crabp1,12903
Crabp2,12904
Cradd,12905
Crat,12908
Crcp,12909
Creb1,12912
Creb3,12913
Crebbp,12914
Atf6b,12915
Crem,12916
Crh,12918
Crhbp,12919
Crhr1,12921
Crhr2,12922
Crip1,12925
Bcar1,12927
Crk,12928
Crkl,12929
Crlf1,12931
Crmp1,12933
Dpysl2,12934
Pcdha4,12936
Pcdha6,12937
Pcdha7,12939
Pcdha5,12941
Pcdha11,12942
Crp,12944
Dmbt1,12945
Cr1l,12946
Hapln1,12950
Crx,12951
Cry1,12952
Cry2,12953
Cryaa,12954
Cryab,12955
Cryba1,12957
Cryba2,12958
Cryba4,12959
Crybb1,12960
Crybb2,12961
Crybb3,12962
Cryga,12964
Crygb,12965
Crygc,12966
Crygd,12967
Cryge,12968
