ProbeID,Symbol,ID
ILMN_2909346,Mapkapk3,102626
ILMN_3163159,Gm13342,102637566
ILMN_2895584,Oaf,102644
ILMN_1259610,Cd276,102657
ILMN_1244812,Slc6a20a,102680
ILMN_2615534,Phldb1,102693
ILMN_2724371,Phldb1,102693
ILMN_2620284,Phldb1,102693
ILMN_2884126,Phldb1,102693
ILMN_2665001,Lrrc49,102747
ILMN_1256378,Lrrc49,102747
ILMN_2860501,Lrrc49,102747
ILMN_2726448,Bbs4,102774
ILMN_1254215,Tcta,102791
ILMN_2605212,Slc6a8,102857
ILMN_2764781,Pls3,102866
ILMN_2706677,Radx,102871
ILMN_2647856,Radx,102871
ILMN_2781520,Radx,102871
ILMN_2821788,Cenpi,102920
ILMN_1222840,B630019K06Rik,102941
ILMN_2974709,Nudt10,102954
ILMN_2845025,AU022751,102991
ILMN_3031845,Sept10,103080
ILMN_3105231,Sept10,103080
ILMN_1258914,Slc6a15,103098
ILMN_1245258,Slc6a15,103098
ILMN_2689230,Slc6a15,103098
ILMN_2790399,Pan2,103135
ILMN_2790392,Pan2,103135
ILMN_1245461,Pan2,103135
ILMN_2678502,Pwp1,103136
ILMN_2665715,Gstt3,103140
ILMN_1254902,Rdh9,103142
ILMN_2516705,Upb1,103149
ILMN_2870788,Upb1,103149
ILMN_2870786,Upb1,103149
ILMN_2644185,Apof,103161
ILMN_2749037,Chchd10,103172
ILMN_1256668,Fig4,103199
ILMN_1257598,Traf3ip2,103213
ILMN_2640675,Traf3ip2,103213
ILMN_1232123,Traf3ip2,103213
ILMN_2682970,Ttc41,103220
ILMN_3050362,Ttc41,103220
ILMN_3117650,Ttc41,103220
ILMN_2875163,Csnk1g2,103236
ILMN_2875159,Csnk1g2,103236
ILMN_2718251,Csnk1g2,103236
ILMN_3160449,Tmem263,103266
ILMN_2807750,Cep57l1,103268
ILMN_2643115,Zc3h10,103284
ILMN_3162029,Zfr2,103406
ILMN_2833539,Ncln,103425
ILMN_2942883,Nt5dc3,103466
ILMN_2693535,Nup107,103468
ILMN_1245328,Calhm5,103511
ILMN_2609073,Mgat4b,103534
ILMN_2684268,Mgat4b,103534
ILMN_2726515,Mbtd1,103537
ILMN_2963091,Epop,103551
ILMN_1230087,Psme4,103554
ILMN_2947187,Psme4,103554
ILMN_2481528,Xpo1,103573
ILMN_3123321,Xpo1,103573
ILMN_2708319,Fbxw11,103583
ILMN_2837447,Sec14l4,103655
ILMN_2605013,Sec14l4,103655
ILMN_3160556,Smg6,103677
ILMN_2698606,Tmed4,103694
ILMN_2695526,Tmed4,103694
ILMN_2906414,Tmed4,103694
ILMN_2695528,Tmed4,103694
ILMN_1225229,Slc35e4,103710
ILMN_2855792,Pnpo,103711
ILMN_2713686,Pnpo,103711
ILMN_2594139,6330403K07Rik,103712
ILMN_2907473,Tbc1d10a,103724
ILMN_1250076,Tbc1d10a,103724
ILMN_2420070,Tubg1,103733
ILMN_1250747,Pex12,103737
ILMN_1250709,Mien1,103742
ILMN_2827646,Tmem98,103743
ILMN_2658815,Tmem98,103743
ILMN_1231660,Tmem17,103765
ILMN_2907721,Tmem17,103765
ILMN_1220879,Slc25a41,103775
ILMN_2615448,Wdr92,103784
ILMN_2841043,Maml1,103806
ILMN_3141195,Zfp692,103836
ILMN_1217864,Zfp692,103836
ILMN_1229454,Cuedc1,103841
ILMN_2650902,Inca1,103844
ILMN_1216748,Nt5m,103850
ILMN_2987854,Nt5m,103850
ILMN_2598083,Hoxb2,103889
ILMN_2963625,Rpn1,103963
ILMN_1214059,Dnm3,103967
ILMN_2687984,Plin1,103968
ILMN_2688985,Gpc5,103978
ILMN_2719860,Gpc5,103978
ILMN_1254628,Gpc5,103978
ILMN_2698004,Gck,103988
ILMN_3040710,Rtn1,104001
ILMN_3115490,Rtn1,104001
ILMN_1254697,Rtn1,104001
ILMN_2758070,Rtn1,104001
ILMN_2981137,Ctsq,104002
ILMN_1239077,Qsox1,104009
ILMN_2666136,Cdh22,104010
ILMN_1227583,Nxph3,104079
ILMN_2648687,Nxph4,104080
ILMN_2960114,Cyp27a1,104086
ILMN_2620326,Cyp27a1,104086
ILMN_2960108,Cyp27a1,104086
ILMN_2749529,Itga9,104099
ILMN_1218151,Adcy4,104110
ILMN_2847004,Adcy4,104110
ILMN_1250417,Adcy4,104110
ILMN_1240770,Acly,104112
ILMN_2747886,Ndufb11,104130
ILMN_2747885,Ndufb11,104130
ILMN_2938047,Etv5,104156
ILMN_2625893,Ces1d,104158
ILMN_1218747,Gldc,104174
ILMN_2873750,Gldc,104174
ILMN_2724545,Sbk1,104175
ILMN_1222707,Chil4,104183
ILMN_2646878,Blmh,104184
ILMN_2629395,Rhoq,104215
ILMN_2987729,Slc6a5,104245
ILMN_1239294,Cdc42ep2,104252
ILMN_3118169,Kdm3a,104263
ILMN_2707895,Kdm3a,104263
ILMN_3043245,Kdm3a,104263
ILMN_2627339,Tex15,104271
ILMN_1219577,Arl1,104303
ILMN_2739965,Csnk1d,104318
ILMN_3030340,Csnk1d,104318
ILMN_2746075,Csnk1d,104318
ILMN_1231035,Csnk1d,104318
ILMN_3103652,Csnk1d,104318
ILMN_1239092,Gas8,104346
ILMN_3065805,Zfp120,104348
ILMN_2431067,Zfp119a,104349
ILMN_2907989,Zfp119a,104349
ILMN_1243489,Isl2,104360
ILMN_2904641,Snora65,104367
ILMN_1214713,Rcor2,104383
ILMN_1234077,Rhox9,104384
ILMN_2794796,E2f4,104394
ILMN_3068699,Pcnx3,104401
ILMN_2749866,Bap1,104416
ILMN_2915059,Dgkz,104418
ILMN_2915060,Dgkz,104418
ILMN_1239607,Dgkz,104418
ILMN_3067357,Npffr2,104443
ILMN_1227800,Npffr2,104443
ILMN_3145557,Npffr2,104443
ILMN_1249765,Rexo2,104444
ILMN_2736430,Rexo2,104444
ILMN_1250030,Cdc42ep1,104445
ILMN_2674228,0610010K14Rik,104457
ILMN_2591217,Rars,104458
ILMN_2907642,Rars,104458
ILMN_2684952,Ccdc117,104479
ILMN_1259355,Ccdc117,104479
ILMN_1227704,Ppp4r3b,104570
ILMN_2907928,Ppp4r3b,104570
ILMN_2683138,Ppp4r3b,104570
ILMN_2968147,Rprml,104582
ILMN_2820831,Mycbpap,104601
ILMN_3034098,Cnot6,104625
ILMN_2772492,Tsr1,104662
