osteosarcoma_a7106_cells_myc_on	osteosarcoma_a7106_cells_myc_off_24hr	osteosarcoma_a8295_cells_myc_on	osteosarcoma_a8295_cells_myc_off_24hr
ILMN_2804251	6.90821486258817	6.82111130597763	6.95871133066858	6.26367061051589
ILMN_2774882	7.28037014628972	7.28295056096251	7.37748147127709	7.59980928420014
ILMN_2868927	6.87175895913493	6.72340043381233	7.05767581104174	7.08010572905997
ILMN_2756311	5.79561248191065	6.05316445881549	6.01774785014472	6.01994499296973
ILMN_2660082	8.75634815913587	7.8326455895308	8.66032077430986	7.3350955323962
ILMN_1258421	11.0316157480074	9.81124466847332	11.0348244054971	10.3611706942986
ILMN_2693905	6.3346048770815	5.78518433900956	6.27887221511009	6.2151258329251
ILMN_2621472	12.1491995757095	10.8803754040131	12.0915723267584	11.8282567037718
ILMN_2621471	11.3021069532924	10.1804832554317	11.1568243059153	10.9628828143028
ILMN_2622829	10.1690095640166	10.0116049348591	10.2717183366557	10.5414545820039
ILMN_2745954	11.0331096149656	10.638496779232	11.0626064396761	10.8566282231551
ILMN_2734060	11.1555682103534	10.8640733329464	10.8769888148408	10.1712421741548
ILMN_2725317	11.8472528446524	11.4494173197276	11.612948529638	11.1538067607903
ILMN_2919489	10.8199409539584	10.4934104162389	10.7804515955242	11.0136461442478
ILMN_1252407	11.7781492214071	12.3122915644677	12.1627746903906	12.1584356518395
ILMN_2803878	7.80301823229777	7.40563227896752	7.48295917469661	7.34683880155216
ILMN_2646001	8.83417386844436	8.66259147719948	8.36363049935181	8.23370427084919
ILMN_2642876	8.7136502831862	8.32226968012306	8.31337273062017	8.0321359786686
ILMN_1238142	10.1357387809015	8.85288058229776	9.70229201018864	9.23821859815994
ILMN_1225594	9.9158393905386	10.9687560589889	10.2314345085685	10.903732749505
ILMN_2503787	9.74511709412771	9.76789563280116	9.76213907737847	9.53945396136172
ILMN_1221251	8.04233763362846	8.61781721445654	8.53582357434391	8.87395619374367
ILMN_1243561	7.97075546055795	8.41134001534146	7.97075546055795	7.95420009163908
ILMN_1257630	7.1184767927327	7.40816837070811	7.51493551991854	7.70066529500579
ILMN_3144761	8.33427820230747	8.55755751680493	7.75182704726259	8.07592419036463
ILMN_2604806	8.61651300568635	8.64929579269651	8.05712665845637	8.3530631070495
ILMN_1231340	5.92664000613432	5.70593077840249	5.76053899638275	5.88331374663082
ILMN_2595200	11.2136952449834	12.4252727574791	11.7342626245511	12.7567297690735
ILMN_1217406	6.15400916314203	6.5701148525223	6.34446271820914	6.54242363286299
ILMN_2737979	9.63404626449373	8.70822664536873	9.39047681296337	9.31296007842949
ILMN_2607450	8.87017635543458	8.41690358870489	8.646787381245	8.67116420076255
ILMN_1233987	9.584660639683	11.0393157787121	10.4452246630491	10.2624857181278
ILMN_2617920	7.6428403552506	7.0811348056991	6.65493638569877	6.30760748478386
ILMN_3118081	5.85771239254365	5.93245271057495	6.03253359779073	6.10442745447983
ILMN_3043178	5.97204863870173	5.97183298357095	5.79386227214763	5.80555055418412
ILMN_1258737	6.38443746172727	6.03733049228729	6.22177047929369	6.34295442145382
ILMN_2661005	9.71017645132629	10.1999259596179	9.62291749710294	10.1154244700858
ILMN_2674655	8.84042711883288	9.07068140649884	8.24833594238672	8.91434028083524
ILMN_2647669	8.67899618770321	8.73895221441215	8.11364112177506	8.7954837639508
ILMN_1220508	8.80319926222115	9.38298865273416	8.7949337951203	8.96268558491951
ILMN_1234299	7.53828206873931	6.71767313330673	7.05301980715767	6.69109728432962
ILMN_2637066	9.97966723195916	9.71053086640309	9.74717568466803	9.24920905624691
ILMN_2849359	10.2911767441208	10.1597717066703	10.1223464877757	9.7508862443904
ILMN_2614983	5.89579870484075	5.82862187179377	6.05234953795705	5.92573464311083
ILMN_1259814	6.21114115975002	6.34093540061671	6.12798436776448	6.19062730399312
ILMN_1237830	5.764049783347	5.95585189975024	5.78761595032549	5.69481522828282
ILMN_1254950	6.2049690286841	6.49057747065196	6.1652416735157	6.21799127556449
ILMN_3142224	13.8962642792408	13.7071363902114	13.6174020328609	13.2954386017906
ILMN_2636384	14.0457406806732	13.7293910559513	13.7375251639588	13.5748317888512
ILMN_2455397	9.24851805516689	8.68808670698323	8.86608215056795	8.28412877919488
ILMN_2738655	5.9854260849659	6.62751104922012	6.7192594346598	6.88024471605846
ILMN_1243516	5.67335975010806	5.77911011049839	5.72827162640017	5.84045605814338
ILMN_2517566	5.86624964160726	5.77667154269492	5.86702428394443	5.77718922098207
ILMN_2427971	7.89099972718258	7.48785851949066	7.29964785882034	7.22261114373038
ILMN_2488405	8.01913991997238	7.55060347055776	7.66260393785337	7.32331939909302
ILMN_2710151	8.51159740747578	8.82026378209147	8.5341780639914	9.14490113552426
ILMN_2960474	7.59122143426832	6.82748212361131	7.41642218810731	7.7555252194211
ILMN_2759652	9.73146953021343	8.33971418723657	9.37739405555774	8.43837582245795
ILMN_2955214	11.1023025047763	9.5495281072025	10.6307064657148	9.96920532761457
ILMN_1235811	8.8689939707077	10.2890560568665	10.7260631507115	11.3310546444326
ILMN_2441625	6.29258838017073	7.05132859397691	7.57311601891073	8.40681586858824
ILMN_2464955	7.18733871026859	6.56989604119116	6.88216645336697	6.91800600987191
ILMN_2694430	6.83241188402131	6.70758677001771	6.60550577894677	6.59615859061259
ILMN_2476881	6.77961299554756	6.91371550647658	6.86208558778883	6.65346432074561
ILMN_1252597	8.34965465546746	8.80319926222115	8.5321633257963	8.89079565036983
ILMN_2972929	8.63042067058012	7.72153039435284	8.18780312327748	7.69976277584532
