kidney_es01_cells_myc_on	kidney_es01_cells_myc_off_24hr	kidney_es01_cells_myc_off_48hr	kidney_es01_cells_myc_off_72hr	kidney_es02_cells_myc_on	kidney_es02_cells_myc_off_24hr	kidney_es02_cells_myc_off_48hr	kidney_es02_cells_myc_off_72hr
ILMN_2484274	9.97614543051151	10.61576422246	9.9317939168473	9.33480908386932	9.90946677339061	10.3642305669586	9.88158702359002	9.32278427189982
ILMN_2686463	8.38984415200095	8.38803214287428	8.37380413819877	8.64906747396043	8.71691285202353	8.21065521229519	7.9965796920361	8.41341563415686
ILMN_2712923	7.42675766119375	7.09354221841842	6.93107446900805	7.37682105863441	7.26886231672168	7.11507916421929	7.1392427003123	7.32961215024356
ILMN_2670313	7.45348054012934	7.52619413800745	7.30816198193515	7.3384729970598	7.27112040551252	7.23198385509673	7.24066339163138	7.49071983517981
ILMN_2637698	9.45572924873497	10.519558858237	10.5184851019082	10.48076306828	9.71124999853315	10.7352521163286	10.7586530646432	10.6017488553772
ILMN_2674228	8.96603810452538	8.36329966437769	8.21415601903605	8.27133707839791	8.62441138654964	8.38339142265805	8.22898296804029	8.2776276895464
ILMN_2438555	9.91456454217938	9.24051269222781	9.00432806740784	8.23666941661759	9.85362289813128	9.06769353182493	8.87871308195282	8.35927670926069
ILMN_2848071	6.75731564739734	6.31466881785198	6.43815892360235	6.26714747376715	6.49363118377581	6.30517118292473	6.25713923926119	6.21709029385656
ILMN_1248518	5.76474422996613	5.74670422709676	5.6635595984999	5.54957526467065	5.59886312284151	5.69024149734965	5.68712519793605	5.69417130865548
ILMN_2658619	11.9737490631471	12.2994074843807	11.7859661069301	11.1756555813947	11.788503574119	12.1342694394633	11.7159815033884	11.1059594012939
ILMN_2682917	5.4904897467327	5.92734959284752	5.77303635126283	5.6863082717578	5.73573884959621	6.32421527441368	5.6849675849275	5.74310883650624
ILMN_2972403	6.24972371284204	8.90873531396933	7.48228754497899	6.00587301377365	5.99767262330575	8.59364658325596	7.26266863721717	6.17990501066457
ILMN_2973337	6.41655342026266	6.17188966070178	6.2756647406063	6.33500251686035	6.77695377274811	6.58584315875259	6.50140815315686	6.18490860879185
ILMN_2549368	5.99211634634447	6.52620333404704	6.33400032080505	6.04051502691366	5.9162576558516	6.60828302865454	6.34109837343657	6.01204273474756
ILMN_1226653	7.22448627078458	6.63392474546102	6.60589095157271	6.91250900725402	7.24349605418543	6.76183851290063	6.65831536019699	6.7960315920319
ILMN_2655105	7.52025486733355	7.12483395124409	6.91029029510903	7.13254805428333	7.41198577051587	6.97994544353246	6.96679944045919	7.13143836402617
ILMN_2544634	7.15332984716355	6.68184484882601	6.37666435067046	6.3517909817501	6.83147863086006	6.51708047911124	6.40545754469622	6.00333485460925
ILMN_2653890	6.40829090743784	5.66444582674079	6.07224777394246	6.32863660453078	6.20942858127997	6.12525539824364	6.06640420728398	6.09982057393186
ILMN_1220374	8.27056841973274	8.23047983870062	8.32653639315591	8.1379468051521	8.54776714211682	8.38835095073329	8.30709730031386	8.01813485956004
ILMN_2444799	7.73588547922321	7.81201465213846	7.42522650051131	6.95068157152556	7.57798766969658	7.63485306011377	7.19083569672844	7.20268756494427
