lymphoma_4188_cells_myc_on	lymphoma_4188_cells_myc_off_24hr	lymphoma_4188_cells_myc_off_48hr
ILMN_1216463	6.1627894878541	6.14991786217985	6.13070879408063
ILMN_2659694	5.48452529051784	5.53615332573152	5.4813371571305
ILMN_2523903	11.1007913173591	11.3822536693031	11.4929026758365
ILMN_2651743	5.51369159720298	5.5562572178137	5.42769075209827
ILMN_1217369	7.63559455046079	6.82274756553569	6.24917218671148
ILMN_2789047	8.974400918078	10.0796185580334	8.95743166600967
ILMN_2550016	9.4656274850886	10.6490774016134	10.8321299735173
ILMN_2958076	10.7706999529603	9.50388369634305	8.59352221999617
ILMN_1239895	9.9892077109039	10.6620395996532	10.8302613991986
ILMN_1238713	10.3709002358446	11.1615243182561	11.2241349605176
ILMN_1248658	8.90133766945181	10.6562857118783	10.9469966532296
ILMN_2634338	9.90585694517674	9.83839054672421	9.69254163614216
ILMN_1218725	11.3727522658196	9.63449906766431	9.82424341913059
ILMN_2938179	9.65159260040512	8.9841809808629	9.08982817633
ILMN_1225158	9.73270312780753	11.1878427865055	11.8312915392975
ILMN_2452855	9.77707494648604	9.81917063868338	9.22292890430123
ILMN_1213881	8.46162132237539	8.99478872562946	9.19945469738222
ILMN_1257567	6.03662406611484	6.01468505453996	5.94486875073531
ILMN_1242099	5.73600173231031	5.67685571542568	5.8114666633908
ILMN_2483786	7.48446793218099	8.41076692198694	8.43660633745092
ILMN_1244997	5.60700306847047	5.69125032508789	5.87260306433003
ILMN_2596761	7.68775638570831	7.4171667202349	7.44875451633246
ILMN_2804251	6.41673319062676	6.24383071254921	6.28257707444271
ILMN_2774882	6.96017419540791	7.19975281945808	7.15337097626397
ILMN_2868927	7.80736587104092	7.56992976601217	7.59456994697955
ILMN_2756311	5.30718295468286	5.32750030941619	5.49663395182457
ILMN_2660082	9.22212865453862	8.65976677878345	8.41734410732513
ILMN_1258421	11.6048104883006	10.8156370661279	10.4650371154893
ILMN_2693905	6.08085916046007	5.90291088750418	6.11331662110399
ILMN_2621472	12.5105132318623	11.93825920087	11.4913245122626
ILMN_2621471	11.5534405057665	10.834145761695	10.4884969333822
ILMN_2622829	10.2210291874218	9.84556584271469	10.1048481352392
ILMN_2745954	11.3789214051763	10.4487120557147	10.1035378538825
ILMN_2734060	11.0926483621929	8.53542184226721	8.7274794124446
ILMN_2725317	11.5270087383905	10.8889352403678	11.1771782380703
ILMN_2919489	10.7046506752404	9.86171338567066	9.63771209205879
ILMN_1252407	12.0276080529656	11.1134452632356	10.9946928545856
ILMN_2803878	6.77181648732908	6.05212254880013	6.24551670577211
ILMN_2646001	7.98568561285865	6.50263468524954	6.78689819856972
