liver_hcc4.4_cells_myc_on	liver_hcc4.4_cells_myc_off_24hr	liver_hcc4.4_cells_myc_off_48hr	liver_hcc4.4_cells_myc_off_72hr	liver_ec4_cells_myc_on	liver_ec4_cells_myc_off_24hr	liver_ec4_cells_myc_off_48hr	liver_ec4_cells_myc_off_72hr
ILMN_2712923	6.79068505917981	6.54733283370268	6.52394568934254	6.64179731199148	7.631524497789	7.69415335307045	8.16725028163452	7.48710915784204
ILMN_2670313	7.05312749607443	7.06403026658252	6.80765878990026	6.97711031098793	8.35230555964758	8.42486961493331	8.64636461276553	8.21538732751371
ILMN_2637698	9.99775843671057	9.87615617014433	9.77478362166797	9.8791526358394	10.0833486976816	10.4265837165087	10.5754724757368	10.3030226776007
ILMN_2674228	8.54850415311185	8.44212889980497	8.42000451108001	8.47649768464249	8.83479885847148	8.90270812453639	8.5981567427468	9.08817171587788
ILMN_2438555	9.02785942606453	8.61044252838944	8.13226958695489	8.01858229631198	9.35699659208279	9.52989769500465	9.11412280893709	9.2671428084174
ILMN_2848071	6.06275810543711	6.14295705215736	6.01949921578166	6.04824212638044	6.13062950489562	6.16268210447329	6.19543643512539	5.99834581367339
ILMN_1248518	5.58564307432204	5.58020982978073	5.38232685482584	5.52545182430706	5.34881626214874	5.56181833168526	5.64571199664594	5.5906094667144
ILMN_2658619	11.4119436257231	11.3179494259562	11.19145724287	11.0739657992532	11.7291234569714	11.6365289550005	11.5968370995072	11.9183525960676
ILMN_2682917	5.58213885722778	5.60743203865967	5.56979228022189	5.75013230571245	5.55655284091581	5.66925642155815	5.65664763251644	5.45942444612992
ILMN_2972403	5.7575480220763	5.58284014109643	5.80443127706516	5.77144390999047	5.6770884522169	5.65612821325038	5.70090061332228	5.70819806723107
ILMN_2973337	5.90953773511576	6.07191395195647	5.90592748565828	5.77763912788006	5.99784285518689	6.14345798728046	6.12012974245366	5.98662598659713
ILMN_2549368	5.67009311642455	5.7488687783797	5.83451864391398	5.70498076406572	5.96397689881111	5.73435320343524	5.64693547165916	5.43342745582883
ILMN_1226653	6.32027923459219	6.46679319414236	6.26237271362958	6.41509919289707	6.5087580308251	6.38147319400331	6.47597070641999	6.60874531035681
ILMN_2655105	7.30667043298754	7.11140709572935	6.69092789556506	6.47737077086616	7.33955776075013	7.35039856672776	7.01248626814526	7.00215088557641
ILMN_2544634	6.63609868409664	6.74592178757489	6.38331693733118	6.34055138735478	6.4414963648807	6.65613910270071	6.22774769311714	6.24460960755432
ILMN_2653890	6.00507139135059	6.00103600144175	6.0551575230757	6.02865721843862	6.1329417884827	6.07231086281898	5.85620794073287	5.77957852547765
ILMN_1220374	8.27255496582785	8.21874611934089	7.70070222313889	7.36416245781605	8.48070307139553	8.44568118809271	7.57363970893665	8.23175225158044
ILMN_2444799	6.96174789772732	7.04475024073975	6.86151372545578	6.58659933125788	5.75410469455758	5.58304672789114	5.46485308413215	5.39013403868752
ILMN_2727437	7.7760815280588	8.72933808188013	9.08245754413966	9.11030310849675	8.31029325180457	9.47879949417588	9.5865711336956	9.70181116529691
ILMN_2628021	10.4423479503148	11.6207417799931	11.7990550188364	11.8961715015144	10.8053710606026	11.8063532619367	11.9600243382083	12.2751232246358
