,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm44090,2.77807460807536,-0.742845113611845,0.901345280548763,-0.820889942693286,0.411708960257965,0.516890283371027
Zfp457,13.879051645933,0.497137146697166,0.605428876715673,0.820557640945012,0.411898283969821,0.517093237664539
Astn2,3.75855548107619,-0.733624086906353,0.891850521687223,-0.820244995271132,0.412076456081313,0.517282166019859
Tpr,6854.1263441559,0.206043618561416,0.251223349628143,0.820161293331365,0.412124164324722,0.517307307882647
Olfr522,0.850604357811958,0.622722135892883,0.721302970167503,0.820052485787794,0.412186187099849,NA
Gm3173,0.850604357811957,0.622722135892883,0.721302970167503,0.820052485787794,0.412186187099849,NA
Olfr315,0.850604357811957,0.622722135892883,0.721302970167503,0.820052485787794,0.412186187099849,NA
Otogl,0.850604357811957,0.622722135892883,0.721302970167503,0.820052485787794,0.412186187099849,NA
Aqp7,7.74795604189251,-0.605567941210819,0.737455855471076,-0.820004709383017,0.412213422486038,0.517384597235834
Apol6,2.79947317498681,0.758384278477977,0.922889216288666,0.819806148794427,0.412326625238016,0.517491927947974
Gm37925,0.812866234629493,-0.664572330780735,0.739026086326155,-0.819519233385698,0.412490233121712,NA
Barhl2,0.812866234629492,-0.664572330780734,0.739026086326154,-0.819519233385698,0.412490233121712,NA
C920008G01Rik,0.812866234629493,-0.664572330780735,0.739026086326155,-0.819519233385698,0.412490233121712,NA
2810455O05Rik,47.0354523073549,-0.302931826355269,0.36967448775467,-0.819384307296765,0.412567185378227,0.517759073833849
Eogt,247.570121284856,-0.253800916953049,0.309837495128414,-0.819157554298261,0.412696528344589,0.51788661909837
Slit1,7.55304105488702,-0.639140788465064,0.779106591630255,-0.8190187456552,0.412775718521672,0.517897770070084
Fbxo43,9.7797206860176,0.696576573579716,0.85053849761756,0.819015948291816,0.412777314506935,0.517897770070084
Cmc4,69.0491073509336,0.26204550873804,0.319974456837141,0.818955921031227,0.412811562859693,0.517897770070084
Skint4,9.96378187271989,-0.551533741090707,0.67298875095184,-0.818947688785466,0.412816259871263,0.517897770070084
Gm43696,4.46287545641911,-0.679429077961279,0.827693995498181,-0.818838111841163,0.412878783393785,0.51794144065287
Ccdc28b,130.075493137128,0.255433787968694,0.311991467869966,0.818731756205658,0.412939474234571,0.51798280649506
Gm45253,2.61045391908823,-0.765034716953734,0.936711319918376,-0.81849391624863,0.413075214487793,0.518118300910226
Gm45752,1.33760472951587,0.767860734502637,0.935664699067101,0.818417024484032,0.413119103884026,NA
B230377A18Rik,7.51962386249602,0.645894865089979,0.789580602180575,0.818185165870417,0.41325146422607,0.518304584586338
Ighv2-3,3.72445930016351,-0.745662014508087,0.927130574575133,-0.817871384049227,0.413430631780111,0.518470309880314
AC153504.2,7.92300230059483,0.616883783663182,0.753216156780005,0.817856584590208,0.413439083318868,0.518470309880314
Klf15,0.846831792589079,-0.770469665894585,0.888562673441182,-0.817831959279601,0.413453146341176,NA
Smarcd3,5.28358304554451,-0.646525443176913,0.789199726105542,-0.817630419148468,0.413568252522865,0.518597495397197
Dpf2,2517.45334835183,0.130782015116327,0.160002853701817,0.817373197839352,0.413715187606644,0.518746940032243
Casq2,0.791671834687811,-0.669356306672771,0.742515802518092,-0.816831348353957,0.414024814759716,NA
Myo5b,26.4990416700327,0.696950255136626,0.863461521189093,0.816677303941623,0.414112864843369,0.519182686885634
Setd1a,3269.59649387407,0.204493236942939,0.250399489230355,0.816667851444046,0.41411826814726,0.519182686885634
Serpina3m,3.64287571553011,-0.712345033486568,0.869926692416982,-0.816428009944581,0.414255382006673,0.519286646139701
Gm17435,38.5922173036724,0.316907468244059,0.388136395742194,0.816425597937952,0.414256761051785,0.519286646139701
Aspn,3.73930404585079,0.738759296243881,0.904866307509835,0.816008517655731,0.414495264132859,0.519550770716231
BC001981,1.33979818981172,0.765091120554103,0.935663345218867,0.815888222332409,0.414564068864953,NA
Gm42645,1.33979818981172,0.765091120554103,0.935663345218867,0.815888222332409,0.414564068864953,NA
Gm45483,3.9604167781289,-0.676977024765456,0.827306548929622,-0.815835842214901,0.414594030577014,0.519639718157992
Dnah7b,2.3086456523029,0.712645419277362,0.936420057727784,0.815536679734364,0.41476517768151,0.519819367334344
Gm10419,7.63090374394487,-0.635399079029247,0.779268264033597,-0.814523795149229,0.415344946278407,0.52051107765018
B3gnt6,1.11644489841298,-0.676684759188672,0.858436575065046,-0.814221023308027,0.415518343832408,NA
Gm44835,4.45017133800932,-0.672008399391557,0.823903717753988,-0.813655199073836,0.415842506194585,0.521099678038796
Gm14419,1.42785098145261,-0.715529313791247,0.887522034060789,-0.813423437485436,0.415975326183212,NA
Rnf148,1.35695349004019,0.588942986109638,0.800236785308285,0.813139830158786,0.416137892458579,NA
Aacs,699.385330289028,0.161198265602454,0.198285292638414,0.812961467659007,0.416240150656102,0.521563002052423
Dynlrb2,1.35476002974433,0.590800349553274,0.799979053934987,0.812758613412623,0.416356468403388,NA
Gm42949,6.76819872991484,-0.584539657074097,0.718416703579149,-0.812417825327235,0.41655192135079,0.521918668418136
Gm3373,0.832391863049141,0.621074408762466,0.720763396280361,0.812396511033457,0.416564147583445,NA
Gm26680,0.83239186304914,0.621074408762466,0.720763396280361,0.812396511033457,0.416564147583445,NA
Gm14091,4.21136907478532,0.6671983709491,0.819721623485901,0.812329469563514,0.416602605063452,0.521947180132122
Gm37391,1.35318414801271,0.759863714915549,0.935674155876957,0.811770316970294,0.416923437357961,NA
Ntrk2,4.88507746684757,-0.658839736436394,0.812066533495824,-0.81158648389847,0.417028949481513,0.52244630894624
Gm45520,14.5260984141935,-0.51859037293811,0.63878361807298,-0.811348196005563,0.417165739713818,0.522582646927512
2010110E17Rik,1.87652001616252,0.759251608406914,0.936377226192295,0.811215445815452,0.417241957026913,NA
Slco6c1,0.974907797975449,-0.693348184224924,0.905323664638754,-0.811205949985833,0.417247409285617,NA
Gm38359,4.73176706100014,0.678059231002815,0.834637193331336,0.811145347277077,0.417282206776108,0.522693509546829
Ceacam18,2.47977117565963,-0.75696986184752,0.932918383304111,-0.810956189191423,0.417390830525451,0.52274807912174
2010109I03Rik,15.3646055748318,-0.539060411071491,0.664422593083588,-0.810947443494778,0.417395853131793,0.52274807912174
Nudt12,14.4721548934184,0.608466177908641,0.752444948619577,0.810919632678767,0.417411824969945,0.52274807912174
Borcs8,862.546749280488,0.143913792963376,0.177479782708498,0.810874657842328,0.417437654920694,0.52274807912174
Gm11636,1.47133434864757,-0.752589142814105,0.930577229830017,-0.810806235995253,0.417476952766663,NA
BC004004,1293.51816210893,0.153043864686353,0.188768896526743,0.810747556759258,0.417510656715032,0.522804466555929
Rbm42,2435.14643298555,0.118586603756767,0.146282893347226,0.810666337478481,0.417557309771169,0.52282785490509
Rpl17,50526.4217272031,-0.176494237178222,0.217755584756007,-0.810515307733719,0.417644070727514,0.522901456275642
Prdm10,436.066168684097,0.213225803668387,0.263109519882671,0.810404461277507,0.417707754641393,0.522946156651459
