liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
17194	18563	192190	17880	209456	114601	12771
17195	18573	19223	17888	20947	114615	12775
17281	18582	19263	17896	209837	114643	12778
17314	18604	19266	17897	211623	114664	12798
17329	18606	19267	17898	212111	114715	12802
17380	18624	192678	17901	213393	11477	12818
17388	18628	19273	17912	21349	11480	12902
17449	18631	19301	17965	21385	11482	12908
17475	18634	19347	17984	21386	114874	12916
17527	18642	19418	18003	21393	11488	12978
17775	18645	19699	18007	21412	114886	13124
17836	18703	19739	18008	21413	11489	13136
17837	18705	20167	18011	214137	11492	13137
17840	18762	20224	18018	21417	11496	13197
17841	18777	20230	18035	214547	11501	13209
17842	18816	20257	18080	214639	11502	13388
17843	18828	20272	18127	214968	11515	13400
17844	18946	20277	18128	215436	11535	13409
17874	18984	20278	18131	215707	11540	13490
17912	19012	20292	18132	216560	115486873	13492
17961	19045	20304	18162	216643	115488471	13537
17966	19049	20315	18186	21685	115489452	13587
17979	19099	20318	18218	21687	115489912	13609
17992	19123	20322	18293	216881	115489941	13610
18027	19164	20324	18295	21689	11555	13650
18028	19193	20343	18301	217012	11565	13653
18029	192136	20346	18590	217258	11576	13654
18032	192169	20347	18591	217410	11600	13655
18048	19218	20348	18595	21743	11605	13660
18081	192193	20349	18606	217835	11622	13733
18105	192201	20350	18611	21785	11629	13813
18113	19228	20355	18613	217887	11630	13823
18209	192653	20356	18626	21804	11641	13835
18212	19266	20404	18645	21808	11669	13849
18302	192678	20411	18647	21817	116732	13853
18400	19272	20452	18708	218194	11676	13857
18405	19293	20471	18718	21824	116848	13866
18406	192970	20538	18755	21833	116873	14026
18408	19299	20617	18760	21846	11689	14048
18416	19301	20618	18762	21859	11690	140482
18441	19305	20621	18764	218734	116904	140497
18519	19346	20657	18767	218739	117149	140571
18534	19349	20661	18769	218772	117150	14070
18553	193742	20671	18821	218877	117167	140742
18554	193813	20672	18828	21888	11717	140780
18569	19419	20678	18829	218952	11732	14085
18604	194974	20680	18830	21912	11746	14128
18606	19682	20692	18858	21916	117591	14131
18627	19683	20701	18979	219170	11785	14133
18631	19731	20703	18984	21922	11789	14168
18633	19775	20708	18985	219228	11796	14177
18634	19879	20715	19012	21924	11797	14191
18642	19883	207175	19025	21939	11798	14204
18703	20256	207181	19055	21940	11810	14218
18705	20278	20741	19062	22021	11816	14247
18770	20280	20742	19073	22038	11820	14256
18777	20315	20747	19108	22092	11828	14261
18815	20322	207781	19128	22094	11835	14263
18828	20338	208076	19153	22138	11838	14281
18844	20347	208154	19159	22142	11839	14293
18979	20363	208164	192187	22169	11841	142980
18984	20377	20846	19223	22268	11847	14325
19013	20420	20910	19252	22271	11852	14343
19049	20439	209456	19263	22329	11853	14357
19116	20449	20947	19266	22339	11855	14415
19123	20495	20977	19267	22341	11856	14425
19125	20497	209837	19347	22352	11861	14426
19128	20499	210044	19418	22364	11865	14469
19157	20500	210710	19645	22370	11883	14525
19193	20503	211623	19699	22371	11886	14537
192136	20505	212111	19725	223732	11905	14555
192188	20510	212307	19731	223864	11906	14561
192193	20517	212483	19739	22413	11910	14579
19266	20518	213019	19769	22416	11911	14586
19272	20520	213391	19876	224454	11937	14599
192986	20521	21349	20130	224796	11972	14605
19299	20526	213573	20230	225020	11975	14702
19301	20528	21380	20249	225341	11977	14710
19305	20533	21385	20257	225523	11980	14735
19349	20540	21386	20272	225608	11988	14784
19369	20541	21393	20276	225642	12000	14797
19370	20597	21412	20277	226265	12010	14860
194433	20618	21413	20278	226352	12014	14938
19682	20621	214137	20300	22637	12029	14960
19683	20655	21417	20304	226594	12042	14961
19699	20689	214547	20315	227753	12043	14963
19701	207151	214968	20318	22793	12044	14969
19733	207175	215280	20324	228550	12045	14991
19883	207215	215723	20343	228662	12050	14998
20181	207683	216505	20345	228778	12051	14999
20183	207806	216560	20346	228788	12053	15000
20193	208092	21685	20347	228801	12054	15001
20196	208647	21687	20349	229474	12111	15002
20208	20892	216874	20350	229595	12121	15007
20209	208922	216881	20355	229600	12142	15024
20211	209018	21689	20356	229603	12143	15043
20216	20913	217012	20361	230103	12145	15114
20219	20917	217124	20363	230379	12156	15163
20238	20930	217258	20393	231162	12161	15170
20249	209456	217333	20404	231532	12166	15199
20276	209558	217351	20452	231931	12182	15208
20280	209645	217410	20471	232016	12192	15212
20301	209692	21743	20533	233103	12193	15216
20315	210463	217430	20538	233335	12212	15242
20318	210530	217835	20617	233733	12224	15259
20322	211255	217887	20618	233744	12226	15273
20338	211347	217944	20623	234267	12227	15275
20411	211389	21804	20657	234356	12228	15368
20441	211739	21808	20661	234395	12229	15370
20443	211798	21814	20671	234564	12258	15446
20454	212307	218194	20672	234797	12259	15450
20503	212390	21824	20678	234915	12260	15468
20511	212647	21827	20680	235281	12262	15476
20517	212862	21833	20701	235527	12265	15484
20526	212933	21846	20703	237759	12266	15531
20583	212980	21859	20708	23797	12273	15902
20597	213498	218739	20715	23831	12290	15936
20678	213760	218772	20717	23871	12292	15939
20700	21390	218877	207175	23917	12295	15985
20714	21401	218952	207181	239435	12297	16000
20717	214048	21912	20742	23945	12298	16016
207683	21419	21916	20747	23962	12305	16019
207781	21428	219170	20775	240168	12322	16069
20787	21452	21922	207777	24051	12332	16071
20846	214579	219228	208076	240725	12334	16098
208659	214895	21924	208154	24099	12337	16142
208677	215445	21939	208164	241041	12354	16149
208846	215456	21940	20846	24110	12362	16154
20917	215707	22092	20887	241116	12363	16155
209183	215928	22094	20910	24136	12368	16159
209186	215929	22138	209456	241556	12369	16170
209558	215951	22142	20947	242553	12371	16186
20969	216225	22169	20970	242584	12385	16190
209692	216363	22268	20977	243374	12398	16192
209760	216440	22330	209837	243653	12399	16199
20979	21685	22339	210044	243755	12406	16205
210582	21687	22341	210710	243881	12418	16329
211389	217066	22364	211623	243912	12421	16337
211924	217203	22370	212111	244198	12443	16362
212167	217410	22371	212307	244608	12452	16363
212285	21743	223732	212483	244757	12455	16364
212531	217463	223864	213019	245049	12458	16391
212670	21763	224109	213391	245877	12475	16419
212862	217666	22413	213393	252972	12477	16451
212933	21767	22416	21349	260305	12478	16468
212974	217682	224454	21380	263406	12479	16476
212980	21814	224650	21385	26364	12481	16477
213056	21816	224703	21386	26432	12482	16478
