liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
Apbb1	Aprt	Mif	Chil1	H2-DMa	Gm27252	Try5
Apex1	Rplp0	Marcksl1	Cideb	H2-DMb1	Gm32742	Synpo
Birc5	Klf16	Psmd7	Ckmt1	Hsd17b10	Gm32846	Airn
Apoc2	Arg1	Mt1	Cldn2	Foxq1	Gm21994	Adcy4
Aqp3	Rhob	Naca	Cldn4	Hk2	Gm34549	Tex15
Aqr	Arpc1b	Ndrg1	Col15a1	Hmga1	Gm9493	Cdc42ep1
Rplp0	Atf3	Nipsnap1	Col18a1	Hmox1	Gm35082	Pik3r6
Atf3	Slc7a3	Nme2	Cryz	Foxa3	Gm35315	4930427A07Rik
Fxyd2	Barx2	Npm1	Cstb	Hpn	Gm26515	Spata7
Slc7a3	Bax	Npm3	Ctse	Id2	Gm36210	Tdp1
Bckdk	Phb2	Sigmar1	Pcbd1	Cd74	Gm36401	Gm9947
Bcl2a1d	Bcl2a1b	Mybbp1a	Gadd45a	Il1b	Rsf1os2	Gm28777
Bex2	Bcl2a1d	Pabpc1	Dsg2	Itga7	Oaf	Gm13610
Bex3	Bcl3	Pafah1b3	Dtnb	Itih1	Cd276	Gm11457
Bid	Bex3	Pfkl	Eef2	Itih2	Gm21992	Zfp286os
Blm	Bgn	Pgam1	Efna4	Itih4	Cenpi	Gm26654
Bmp7	Blm	Pick1	Egr1	Itpr3	Pwp1	B230354K17Rik
Bsn	Bmp1	Pik3c2a	Ei24	Ivl	Nup107	Mir133a-1hg
Bub1b	Bop1	Pkm	Eif4a1	Junb	Mgat4b	Gm28535
Cacybp	Klf5	Plp2	Eif4ebp1	Kcnk1	Epop	Mmrn2
Aspm	Bub1b	Pparg	Elf5	Napsa	Xpo1	Ppp1r3e
Capn5	Serping1	Prkab1	Eno1	Klra10	Pnpo	Tigd5
Casp2	C1qa	St14	Ercc2	Kng1	Tubg1	Espl1
Serpinh1	C1qb	Psmb1	Erh	Krt18	Wdr92	Prickle1
Ccna2	C1qc	Wfdc12	Ezh2	Krt8	Zfp692	Rfc4
Ccnd3	C3	Prom2	Sfxn1	Lad1	Rpn1	Srl
Ccne1	Anxa2	Pthlh	Fbp2	Lamb3	Airn	Wdr90
Cct5	Capg	Ptprs	Fen1	Lamc2	Acly	Catsperd
