liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
14916	14450	228765	17216	217995	108143	11517
14923	14534	228775	17218	21812	108147	11534
14955	14559	228889	17219	218121	108156	11537
15270	14570	229211	17224	21815	108167440	115487829
15277	14609	230082	17231	21816	108167789	115489709
15331	14620	230279	17299	218454	108168254	11568
15361	14633	230721	17314	21877	108169069	11601
15374	14678	231238	17319	21946	108654	11615
15381	14693	231327	17341	21950	108671	11640
15382	14694	231713	17357	21991	108682	11656
15384	14726	231872	17684	22032	108707	116701
15388	14728	231874	17748	22041	108841	116870
15468	14734	232087	17829	22113	108888	116914
15469	14791	232146	17938	22134	108900	11722
15481	14793	232536	17988	22146	108902	11739
15519	14825	233066	18082	22166	108907	11740
15530	14841	235416	18102	223267	108911	11745
15547	14853	235441	18103	223631	108912	11758
15568	14884	23827	18140	223646	108961	11761
15893	14885	23837	18148	22381	109006	11769
15945	14913	23874	18150	22401	109054	11770
16002	15270	23882	18391	224079	109065	11790
16004	15277	23918	18432	224116	109075	11792
16061	15361	23966	18458	22422	109077	11799
16155	15374	24128	18476	224897	109079	11821
16319	15388	243983	18612	225049	109093	11837
16421	15460	244329	18641	225870	109145	118449
16440	15468	244886	18643	225884	109154	11898
16511	15469	245688	18648	226043	109226	11928
16551	15507	245841	18700	22626	109242	11931
16552	15530	245945	18746	226409	109299	11933
16571	15894	26365	18805	227327	109346	11938
16634	15980	26415	18813	228608	109349	11944
16667	16007	26425	18817	228765	109620	11951
16763	16182	268396	18824	229302	109652	11983
16765	16319	268490	18826	230279	109660	11987
16795	16323	26891	18972	230779	109672	11994
16852	16400	269261	19079	231238	109674	12021
16854	16402	26931	19143	231287	109778	12033
16881	16418	269344	19170	231440	109785	12035
16898	16426	269536	19177	231830	109801	121021
16905	16440	26987	19186	231874	109889	121022
16906	16453	27050	19212	233406	109901	12111
16907	16477	27053	192120	234199	110006	12144
16994	16478	27176	192201	234683	110033	12153
17002	16543	27260	19227	235441	110052	12163
17067	16551	27279	19240	23882	110074	12166
