"ID","Symbol","logFC","P.Value","adj.P.Val"
11799,"Birc5",4.70807067158722,8.3160601984063e-14,4.86090350717245e-11
14955,"H19",8.40862978039059,1.5876458436919e-13,8.92318027456529e-11
72999,"Insig2",-3.83051035820661,1.66642659578883e-13,9.01907105343044e-11
12274,"C6",-4.70362983251722,1.82138917326998e-13,9.50569999606934e-11
104086,"Cyp27a1",-4.02427749402113,2.39232079867832e-13,1.20548220107194e-10
93673,"Nat8f2",-6.41704526978017,2.52961127014981e-13,1.23217364968997e-10
380712,"Tlcd2",-2.85418050226954,4.03372522289824e-13,1.90144602200684e-10
225631,"Onecut2",-4.30564613789354,4.80305603862028e-13,2.19334555913619e-10
70061,"Sdr9c7",-3.78709848689169,5.82632486110766e-13,2.58000258167776e-10
70503,"Ddo",-3.33167245510543,6.56973784844053e-13,2.75750000595915e-10
212862,"Chpt1",-3.55648987364355,6.60456444320606e-13,2.75750000595915e-10
243382,"Ppm1k",-2.93059621696419,7.88301211488449e-13,3.19984600096686e-10
57742,"Abhd1",-2.81519781752066,1.14964298747978e-12,4.42098236211634e-10
114301,"Palmd",-3.33500599232873,1.12678684449838e-12,4.42098236211634e-10
72685,"Dnajc6",4.54277741039248,1.22794048664392e-12,4.60099854649424e-10
272551,"Gins2",2.99567237558345,1.30941046510634e-12,4.78360378164975e-10
19266,"Ptprd",-3.27526192635053,1.9605031555556e-12,6.98752014930096e-10
75462,"1700001C19Rik",-2.67247670965964,2.03259426103413e-12,7.07197617535519e-10
381246,"Xkr9",-2.63694736724139,2.20538708366314e-12,7.49472591943477e-10
72462,"Rrp1b",3.60645733576244,2.26590499861861e-12,7.52537948745766e-10
12355,"Nr1i3",-3.54230217219433,2.44892088313769e-12,7.95246241450911e-10
12070,"Bex3",5.80443320799469,2.78453831259907e-12,8.6575443323426e-10
272428,"Acsm5",-4.45200708116913,2.76328920360307e-12,8.6575443323426e-10
12069,"Bex2",6.59132569912702,3.20566099348004e-12,9.75923418702581e-10
72747,"Ttc39c",-4.07184211374514,3.5711503288636e-12,1.06500448480987e-09
225341,"Lims2",-3.52698496058144,3.752706181939e-12,1.07526069483676e-09
382044,"Ces1b",-5.95676513583734,3.74238158322147e-12,1.07526069483676e-09
14867,"Gstm6",-3.24625421908222,4.66846214241843e-12,1.3119276401377e-09
15112,"Hao1",-5.70609643783069,7.00363571833875e-12,1.93102129720913e-09
76429,"Lhpp",-2.44997133363601,8.47287840462424e-12,2.2928550393847e-09
80914,"Uck2",3.65636112553222,9.24462620451319e-12,2.45621314048275e-09
20979,"Syt1",-3.60834713020342,9.68864535310199e-12,2.52821740258713e-09
26378,"Decr2",-2.72478138927708,1.24716263371893e-11,3.19733115202363e-09
17341,"Bhlha15",2.61054071851622,1.30872616272035e-11,3.29731300272975e-09
27401,"Skp2",3.5847023392859,2.13222749115831e-11,5.2810576827621e-09
102545,"Cmtm7",2.32946198367039,2.48610882704199e-11,6.05491804826076e-09
12269,"C4bp",-5.81995993932097,3.11713176250955e-11,7.45390978213995e-09
99377,"Sall4",3.93803603248292,3.16254298564755e-11,7.45390978213995e-09
406217,"Bex4",6.42744453790233,3.89170747207666e-11,9.02690814118353e-09
56629,"Dnase2b",-1.84896554499249,4.0350849391818e-11,9.2132337837912e-09
13370,"Dio1",-5.37049768133342,4.16942929005692e-11,9.23149548721238e-09
69638,"Enho",-3.94000540100693,4.14532427032853e-11,9.23149548721238e-09
640530,"Gm7298",-8.08815048081957,4.57057956469557e-11,9.96863868341736e-09
71145,"Scara5",-2.85228854013917,5.35699237664847e-11,1.15120190588182e-08
231396,"Ugt2b36",-6.35249815488606,5.84348764746401e-11,1.23754905786075e-08
