"ID","Symbol","liver_normal_batch2_rep1","liver_normal_batch2_rep2","liver_normal_batch3_rep1","liver_normal_batch3_rep2"
68735,"Mrps18c",11.1206315572445,11.0833026926259,11.115920291655,10.9562726137
68737,"Angel1",7.83571855712846,7.7940875067493,7.88247237585787,8.06638501226856
68738,"Acss1",6.07135686986001,6.42150306084038,5.63109819944369,5.53929229284349
68742,"Tmem219",8.28772249261975,8.34391950344289,8.3099231079925,8.56125425504972
68743,"Anln",6.4700216533812,6.59440118418762,6.17955495919559,6.344656364246
68750,"Rreb1",9.38176167879727,9.7151521948666,9.83725733635247,9.96028654740807
68753,"Mybphl",6.80321226301031,6.91657325675828,6.57053976798628,6.61727589712249
68755,"Cgrrf1",9.7926447004729,9.71868944919634,9.75750247891306,9.92435323436376
68758,"Abhd11",9.97774347654418,10.0836061761027,9.55239744165633,9.74381056686973
68760,"Synpo2l",7.59919737619733,7.63271757895141,7.50139438530443,7.42709554776614
68763,"1110038B12Rik",8.45372860795509,8.30074123277384,7.37086977953662,7.72411895769146
68764,"Cdhr3",6.80695416589918,6.99016366110267,7.01681493409868,6.94730565754675
68767,"Washc1",7.90770336809487,7.64030694605568,7.70609313482586,7.61855996734905
68770,"Phtf2",8.85974407482391,8.61814880508898,8.46388120194401,8.56409949518175
68774,"Ms4a6d",7.24939799715604,6.61100614201911,7.04746986368369,7.73844555999691
68775,"Atp6v1c2",7.55421627010561,7.54548446175997,7.57982175578871,7.54061153810955
68776,"Taf11",8.05569468225669,8.14556833448716,8.18251811499958,8.13408504408224
68777,"Tmem53",9.27702200780717,9.12786450422847,9.13771043645534,8.9308785246968
68778,"Gucd1",12.4994322265388,12.4614902520723,12.1436057835721,12.0674449552733
68786,"1110059G02Rik",10.4606879332409,10.8083094433792,10.6138555154033,10.3182188714424
68792,"Srpx2",7.12853911866242,7.20092689117536,7.18373889696765,7.26573280109529
68794,"Flnc",6.46663954749661,6.6496637505974,6.74757018649787,6.86419800560147
68796,"Tmem214",8.5453331893976,8.49799129788753,8.40283155276007,8.66155138055696
68797,"Pdgfrl",6.86077405899112,6.90068447712068,6.97754974997915,6.99882604336222
68799,"Rgmb",6.52426365510189,6.84077452777177,6.45471055081224,6.74286263059538
68801,"Elovl5",12.8969952166654,13.2320498298666,12.9623478383054,13.0366547411748
68802,"Mypn",7.4579646287493,7.51343253410234,7.38033072842587,7.47024622533464
68813,"Dock5",6.87407219156546,6.95116826887456,7.06299934174728,7.17398668174479
68815,"Btbd10",7.87400002514452,8.06740940406237,7.82957805366327,7.83419228024079
68816,"Ppil1",7.7158998787147,7.69994901456593,7.29046638914603,7.8213213914134
68817,"Ddi2",8.29438191661103,8.47989643831963,8.7952373110399,8.63963915904211
68818,"Zfand2b",9.34860809206556,9.38156963693657,9.06509005855855,9.26598012903671
68828,"Sync",7.47767479333223,7.70037599555448,7.34979235010265,7.63674199946592
