"","lung_tumor_kras_rep1","lung_tumor_kras_rep2","lung_tumor_kras_rep3","lung_tumor_kras_rep4","lung_tumor_kras_rep5"
"ILMN_2649773",8.05819471434653,7.30722927561294,8.19004069990766,8.41344282064478,7.47517610263237
"ILMN_2616877",8.54831620241599,8.18926861892889,8.08850669361927,7.74680820462883,7.95317792025875
"ILMN_2708841",8.31813321597156,8.38984641007799,8.54060030098959,8.14363830992204,8.22185896029602
"ILMN_2668706",11.0222550980754,10.4659107127844,10.9240144963335,10.9374106044004,11.5990149453059
"ILMN_2933805",7.57872648096675,7.29065247954945,7.43013888821373,7.70615062781753,7.25260630439266
"ILMN_2432508",9.75633739987521,9.39519939566617,9.52478043046258,9.50934203190043,9.26908283645405
"ILMN_2996732",8.25899289069674,8.27878337675938,8.34124082053875,8.03514274788591,7.86494057593737
"ILMN_2711839",7.39113616211879,7.49840047554478,7.25703419762632,7.36864286722243,7.33007655479746
"ILMN_1214514",7.33100088353224,7.04732843850062,7.00397461125969,7.16210804930299,6.78594281939225
"ILMN_2695367",6.93147623388679,7.08178299756292,7.19407966285677,7.12260154507939,7.15336202423927
"ILMN_2977240",7.99123838108984,7.88038707542147,7.4890953154135,7.63793803494587,7.6092249184221
"ILMN_1226293",11.7823251149319,11.6951929415536,11.1700384902407,11.5555387847314,12.4118055611366
"ILMN_1215938",7.33418947022496,7.79272929970389,7.05792405254922,7.57075701107248,8.1603441706847
"ILMN_2735308",7.2488170592785,6.8668925276766,6.79620188260992,6.98882667732795,6.93612259874316
"ILMN_3150519",7.2848530116592,7.39325637174838,7.09430865678144,6.90587584386741,7.04217235317493
"ILMN_3071741",7.38451396139862,7.43071388579194,7.17330236164463,7.03974158460541,7.26713780353985
"ILMN_2705424",7.09582554770703,7.30266748041389,7.12560719450047,7.32479935481874,7.1093083171837
"ILMN_2681516",9.68727178640589,9.55938904123133,9.9888000551632,10.0656769810559,9.52863724424601
"ILMN_3106053",11.3711504332457,11.4279282417939,11.6028757118905,11.4571147101208,11.2658897008022
"ILMN_3032560",7.27090848756765,7.37128658921563,7.54257244408094,7.23218105768664,7.39258575627547
"ILMN_2603540",9.17269314510404,8.71095706523403,8.77091161550116,8.90636451713598,8.68473766431197
"ILMN_2719513",7.73819783941057,8.54971248326806,8.24857990068003,8.44700571543978,8.91779162341143
"ILMN_2729683",7.94266111323946,8.00923378535757,8.53944964772647,8.21983403998288,8.04244598603398
"ILMN_2595359",8.68044743643784,8.43204595397839,8.53588285275125,8.60204927408387,8.43772606821324
"ILMN_2747923",9.17774653672091,8.91886323727459,9.45913700416533,9.81016993766466,8.9392118826664
"ILMN_2588882",7.80566327241189,7.9089179603528,7.96837880137054,8.10826307530433,8.10615395531361
"ILMN_2647533",7.60077243973122,7.32783329675033,7.805159421994,7.54138706162254,7.3391819338563
"ILMN_3154553",7.71011763204345,7.73654991413416,7.99013942790148,7.94836723158468,7.59418462025403
"ILMN_2958464",7.73578869789654,7.95633985344512,7.60067953495516,7.56999797252765,7.49135207356343
"ILMN_2687437",6.95543196130228,6.78320289006439,7.13487548807147,7.12366878274223,6.77445763956529
"ILMN_1254938",7.21261797257263,7.38648225972351,7.35204342579543,7.4740607996427,7.91208470464353
"ILMN_2967904",7.71011763204345,7.2105495922314,7.32409614311388,7.53847996423729,7.2298402377279
"ILMN_1241827",9.10217256766371,9.07435892126464,9.07644819736949,8.99619099508813,9.56396485322798
"ILMN_2970023",9.80304132658508,9.76107330210976,9.25235498310913,9.54711142644918,9.3816510951853
"ILMN_2886162",8.32130805364045,8.61992190663724,8.32260419973808,8.3840012238435,8.48459635422682
"ILMN_1227675",7.37769857772986,7.25035764062512,7.47142119642486,8.26957964233525,7.26795708440284
"ILMN_2484420",6.83470805598769,7.16672799619802,6.94617524072356,6.87889389941687,7.06904691126817
"ILMN_2969435",9.7791550509154,9.90084322817507,9.89166980174523,9.72171869661542,9.71702303583875
"ILMN_1239662",11.3419669898036,11.2174768708164,11.0766861828372,11.0883534768785,10.9101367616764
"ILMN_2675029",9.03856752956147,9.19112091958677,8.70254067287957,9.09311215611127,9.03009808358997
"ILMN_2782061",8.05402766733651,7.77082904603249,7.87904711681728,8.10826307530433,7.99788512782911
"ILMN_2675026",8.25358160759484,8.46548988076573,7.92966526524835,8.4641372862766,8.15927219127898
"ILMN_1213975",9.67345263115291,9.04704720724314,9.38760002775118,9.26908283645405,9.68705850063346
"ILMN_2742937",8.22376040067285,7.92277020927466,8.11804884288877,7.99926014733946,8.34637521892801
"ILMN_2727251",7.31837333674512,7.33259605778921,7.05524853719315,7.19000982460048,7.30229620017485
"ILMN_2715270",8.80245578035078,7.86333451751588,8.32033517930228,8.6407194289222,8.49297976178396
"ILMN_1222016",7.29556806790628,7.06844241602583,7.21146247853776,6.93810932621924,7.03390473719133
"ILMN_1215657",7.08095073429702,6.88420868513907,7.25207404279618,6.93332182073295,7.08892071151815
"ILMN_1242535",7.12734954105912,7.00804338507185,7.11712358570437,6.82789839606074,7.00186556177819
"ILMN_1233078",6.91483356868422,7.089185620634,7.08600349628708,7.06481011588777,7.04217235317493
"ILMN_1225056",9.70947158168072,9.48435719003583,9.87300666197658,9.72812246876343,9.89972510307617
"ILMN_2739384",7.13102093252328,7.05887114676744,6.73690923779045,7.12989474450692,6.97860321812553
"ILMN_1242204",7.27233818415862,7.02807872270489,7.19865989492721,7.26238852375102,7.21535098300245
"ILMN_1256644",7.5461227588578,7.36997896115748,7.89903586867236,8.42146001141505,8.08646799346407
"ILMN_1212645",7.22466496841262,7.0991505277663,6.83091127974278,7.20704483370935,7.02756048224878
"ILMN_1258914",7.87144325493413,7.46370316646387,7.45871419132977,7.40229262773388,7.52326789856898
"ILMN_1245258",7.06076347200923,6.83383884355829,7.35909064501474,6.88554386051713,7.09816370971495
"ILMN_2734160",7.10747864662662,7.46490306154231,7.3768850737475,7.25473338924667,7.07761687174007
"ILMN_2707290",7.10427112893689,7.24418541992055,7.30745698717161,7.20564054285657,7.31944632940715
"ILMN_3161159",7.68306039856004,7.51865315567339,7.64970526547141,7.40229262773388,7.7186184934124
"ILMN_2922875",7.61615825244346,7.65776503526536,7.80328355207942,8.99504279550067,7.09816370971495
"ILMN_2720751",7.14968361920577,7.00080987971668,7.11582397743624,7.30178196205111,7.1745512320835
"ILMN_2713714",7.77076711582961,7.79376585730965,8.56257634275998,8.09496837055515,7.84339112854014
