"ID","Symbol","logFC","P.Value","adj.P.Val"
210710,"Gab3",-1.30725938069563,4.5309733513162e-10,6.33165343486737e-08
107995,"Cdc20",2.49445118063293,5.17779096731932e-10,7.15513180672782e-08
66409,"Rsl1d1",1.51589386856017,5.57887316185726e-10,7.62466434219987e-08
73301,"Ttc29",-3.3871358652285,5.79001970324068e-10,7.82722554882656e-08
66902,"Mtap",1.90818468221586,6.23917454476292e-10,8.34372191539961e-08
50525,"Spag6l",-3.74091702357824,7.05673196253885e-10,9.33665695937187e-08
22032,"Traf4",1.89983739993897,7.29347763536093e-10,9.54831382641935e-08
56430,"Clip1",-1.24666821544941,7.8842364666602e-10,1.01088916428714e-07
70510,"Rnf167",-1.10982478468889,7.813002324816e-10,1.01088916428714e-07
68458,"Ppp1r14a",-1.95824142202548,8.86519219296686e-10,1.12506525820336e-07
30877,"Gnl3",1.7548806974514,9.41136281813644e-10,1.18231433706225e-07
13518,"Dst",-2.19745595390264,9.70011260204257e-10,1.20640300431603e-07
102371,"Myzap",-4.52867302923676,1.03308535557885e-09,1.27212698686477e-07
228608,"Smox",1.57931484138484,1.05688717266956e-09,1.28867703593052e-07
16600,"Klf4",-2.50018554772159,1.08755339366224e-09,1.31319432592013e-07
80880,"Kank3",-2.08528091280135,1.23751762543671e-09,1.47990449111119e-07
102103,"Mtus1",-2.09754233003567,1.36134092220608e-09,1.612475909474e-07
19266,"Ptprd",-3.13320873528768,1.45500701596625e-09,1.69120768762358e-07
243653,"Clec1a",-2.67502983879877,1.44440028801535e-09,1.69120768762358e-07
17888,"Myh6",-3.13047138202383,1.48793762681757e-09,1.71347039488242e-07
677884,"Akap2",-2.85207053037002,1.55474073411847e-09,1.77397344130563e-07
65086,"Lpar3",-1.73890863651825,1.60703560695165e-09,1.81697289487797e-07
16977,"Lrrc23",-2.690297305444,2.0526131767517e-09,2.29985135849197e-07
12578,"Cdkn2a",1.72358725699267,2.07134286267879e-09,2.30011528420858e-07
68606,"Ppm1f",-1.7719780783304,2.32943067830735e-09,2.56381675629279e-07
80281,"Cttnbp2nl",-1.36138699162923,2.3595208089801e-09,2.57415441239347e-07
68922,"Dnaic1",-2.32170019784591,2.38151077094028e-09,2.57555212679863e-07
56390,"Znrd2",1.33858382438913,2.4553404035526e-09,2.6325059137055e-07
