"ID","Symbol","liver_tumor_myc_batch1_rep1","liver_tumor_myc_batch1_rep2","liver_tumor_myc_batch2_rep1","liver_tumor_myc_batch2_rep2","liver_tumor_myc_batch3_rep1","liver_tumor_myc_batch3_rep2"
213522,"Plekhg6",6.64704614990011,7.4632348087028,7.06158672891212,6.91158926432252,7.06491103040775,7.18247489356343
213539,"Bag2",8.8451774531586,7.68981614244116,8.09039847837434,7.5979353420152,8.80537736856956,8.57627600224042
213541,"Ythdf2",9.58738670462665,10.1606706148847,10.1791430968512,9.85336506776939,9.77131582348673,9.69229065091539
213550,"Dis3l",11.1336526244943,8.32660070903699,9.95471345097604,9.74533788933373,9.90760420426005,9.31285112249285
213573,"Cracr2b",7.53190855480939,7.19981529421899,6.97078323888823,8.05554060511201,7.0949062055117,7.34221764854483
213575,"Dync2li1",8.15373007781999,7.53044760051295,8.25312474010624,7.86689608019007,7.63151570640324,7.61681882996631
213582,"Map9",6.55700534916329,6.83229758515631,6.69895644527723,6.7446729618265,6.61856634800535,6.71641011353012
213603,"Slc44a3",9.72353325985302,7.76165616398568,8.77616337842308,8.38486002430799,8.78228334285498,9.02707210209135
213649,"Arhgef19",6.85637337774887,7.96384521713969,7.08232874071206,7.02865117152477,7.85712105023167,7.67233622730864
213673,"9530068E07Rik",9.48816161247763,7.86052554344786,8.48496137604437,8.74748438477847,8.65142897671705,8.81349957431109
213684,"Igkv4-79",6.76193997400935,7.19053133046565,7.16328340986892,6.68901738346049,6.70410503166917,7.34853678395141
213742,"Xist",6.42005148368752,6.97870341371411,6.70147783664269,6.66925764961793,6.75740618395781,6.66936812458484
213753,"Zfp598",7.6727684810762,7.69522421751134,7.74872140838529,7.3599792962224,7.73371840431676,7.89356628825065
213760,"Prepl",11.1374158872851,8.08145167893122,9.75408168517847,8.95919801041234,10.2863669873671,9.43808844947464
213773,"Tbl3",8.22529916227023,7.94136366762402,8.3649515952223,7.94830200889975,8.36263719684293,7.65743485882351
213827,"Arcn1",9.13396476037901,7.81249596966215,8.69192970093319,8.49056173686669,8.29100583196792,8.41942419031452
213895,"Bms1",9.18270792616607,7.70951473441103,8.30978152516873,8.2675232434814,8.9835944190227,8.22354613348138
213948,"Atg9b",9.89944010119139,8.86866580399202,9.07705900893858,9.00916875159235,9.7014568979328,9.7485271519031
213956,"Fam83f",8.24132086185578,7.27244243810198,7.92205828973124,7.78548106918071,8.41114815256155,6.90883908844201
213988,"Tnrc6b",7.24431825141606,7.23005119317155,7.20944243501351,7.20710429068422,7.51930890318934,7.01288326028817
213989,"Tmem82",11.817154566459,8.21032051568558,9.95577752102667,9.6759311892542,9.95499359730056,10.4682478567078
213990,"Agap3",8.20901430874269,7.62375823313438,7.79881137265975,7.79543867705373,8.29119151748911,7.78010351655155
214048,"Larp1b",9.62102813362965,7.99801365817833,9.01904633639471,8.79741851398306,8.712556035783,8.70906269745519
214058,"Megf11",6.19988267475182,7.27842826286438,6.76016141563579,6.68303616124026,6.91746380263546,6.59596049572088
214063,"Dnajc16",8.70784626084597,8.99379401874612,8.6912037964543,9.11680729388765,8.77496302865509,8.82030644018714
214084,"Slc18a2",6.66194472350551,6.90628253738581,6.8114636663277,6.65312153883584,6.61320613940473,7.05866317721438
214105,"Sox30",6.51168368612941,7.01455746585853,6.77895046196033,6.6724243583878,7.03558983274838,6.56551765087939
214111,"Slc24a1",6.80428358475541,6.68619385494144,7.05154337433679,7.02983506101695,6.27677553599785,6.62280090804212
214112,"Nipal4",5.39477645573033,10.3017009143401,7.73098843234268,7.74852758818938,8.20970639974633,7.70373231986248
214133,"Tet2",8.01809709822287,7.35078587057219,7.67989703410108,7.68415634889331,7.51907712658102,7.85463542801472
214137,"Arhgap29",8.92914807785953,7.94206977738711,8.4234848201518,8.80818222114864,8.05708425579835,8.4536844133945
