"","liver_normal_batch2_rep1","liver_normal_batch2_rep2","liver_normal_batch3_rep1","liver_normal_batch3_rep2"
"ILMN_2920800",9.35945741343617,9.44762688121386,9.86269280528201,9.53275695522925
"ILMN_1255390",9.01370022983082,8.80709033050596,9.05177934434267,9.18480522175197
"ILMN_2642133",6.71987078736984,6.70805981545292,6.91481062113672,6.98858284838096
"ILMN_2763679",9.55143107005911,9.3086070706443,9.62646647941458,9.44119063527788
"ILMN_2766592",6.98872777703438,6.95036704772048,6.69240799388133,6.85564267014585
"ILMN_2625099",8.2624267865252,8.59871363751486,8.5565519212833,8.66084675282235
"ILMN_2744683",7.02155766949546,6.59127000038877,7.1585149246947,7.26669563908151
"ILMN_2722996",9.18244133099732,9.07405554796262,9.41149177079316,9.41983963464086
"ILMN_2603636",6.72486447977958,6.80187258321472,6.4897752774669,6.71352650031785
"ILMN_3154691",6.82878904643095,6.44198415550433,7.00760764857875,6.92734393640253
"ILMN_2643159",8.60883669189762,8.62300792917927,9.10623129785223,8.57622120520113
"ILMN_2676181",9.21034270711504,9.15755295573086,9.54271769451709,9.47421609890329
"ILMN_2737480",12.0711125735228,12.0580437819248,11.4651986304073,11.4905791671904
"ILMN_1259494",9.16765989695681,8.95990508946157,9.02219573830117,9.03206634831417
"ILMN_2707079",8.50837666009166,9.11394703406974,9.86229742893608,9.91228965897508
"ILMN_2711045",9.23391186381777,9.13456624119599,10.2489163384232,10.2960740613702
"ILMN_2671176",7.06327428419635,6.72831228685418,6.84994713271177,6.99621757406863
"ILMN_2684910",6.45496822017759,6.68487019247513,6.66139154623123,6.77602821736164
"ILMN_2684909",6.99910285584955,7.11056910979148,6.82106542282859,7.0521732270673
"ILMN_1253970",11.0797267255141,11.0420712829942,10.8438974826203,10.9658282031653
"ILMN_2890954",7.13403106833427,7.28913211602756,7.25622642539926,7.01442300832872
"ILMN_2699003",9.24145215995853,9.16885890323928,8.34147985344226,8.57423532157395
"ILMN_2904117",6.8118481207633,6.90581362358177,6.98447476464431,6.67605270352671
"ILMN_2995454",6.91025599716802,6.93046940528978,6.80367144684427,6.84149262420336
"ILMN_1228115",7.35851648947137,7.01965141207072,7.06488908608135,6.92824014084296
"ILMN_2594461",7.23140726988497,7.08579748089072,7.80941601521908,7.04637346886223
"ILMN_1224032",6.76283438337444,7.24398863735036,7.18225999931786,7.15161375430863
"ILMN_2936671",9.03738603781575,9.36780340522527,9.54023236127587,9.58039720540417
"ILMN_2488360",8.03674386313792,8.32817101703653,8.49788804468089,7.95658392138782
"ILMN_2718435",6.80325327123433,6.45674525868802,6.78656540936934,6.75264860141557
"ILMN_3126697",8.97322056507082,8.45126422828229,8.88958694618531,9.17565810690061
"ILMN_2443990",7.82721465611498,7.34461134174271,8.0014487181818,8.41030440381708
"ILMN_2748317",8.5625412612805,8.82071000691144,9.00308734738087,8.30491287493947
"ILMN_1215606",10.8051437834289,10.4502542174805,10.9054587114181,10.7066096929898
"ILMN_1218617",8.7470946554221,8.67916695911438,8.90273477208724,8.67356892688734
"ILMN_2733888",10.2290529972097,10.214344744445,10.3620040653454,10.5436877662522
"ILMN_1251616",6.96069449193433,6.96432533519654,6.86436196987133,7.12381507203643
"ILMN_2633697",6.61604245046553,6.77822122467945,7.12071826375417,6.90844754043715
"ILMN_2592285",6.45115678671612,6.62499007763102,6.85467434841888,6.647255060402
"ILMN_2663114",6.23307611281567,6.24884895338946,6.6244964969284,6.13286382207311
"ILMN_3118707",7.56087238883079,6.84324027174786,6.5277480171316,7.26411041808735
"ILMN_1216337",6.69581538930777,6.46766197596587,6.66052400074993,6.6696164114368
"ILMN_3043669",7.1511131169433,7.22942722357504,7.23257214811741,7.07585271651271
"ILMN_2751572",6.57484786689495,6.79238343034486,6.71171726994396,6.75339964508054
"ILMN_2686270",9.75830417212048,9.73317467914964,10.2382977976603,9.85743483320686
"ILMN_2721571",6.65870693476286,6.60410461047754,6.00999828569008,6.71840426143807
"ILMN_1249863",6.80418652210045,6.87914993688421,6.42022641113835,6.49306644698279
"ILMN_2638491",6.38951702788331,6.5915595371365,6.33356620990748,6.65431722565798
"ILMN_2598622",6.25549103343727,6.56837500303122,6.93723710539939,6.99172850384944
"ILMN_2663249",7.49407635958425,7.18985400237818,7.04941052476678,7.36376437345612
"ILMN_2600147",8.35050281649608,7.92000488318977,8.31434413793786,8.24741423007447
"ILMN_1236161",8.78897009476305,8.54963095477001,8.64265682375571,8.78489819379127
"ILMN_1249970",7.88346141617144,7.82607897880073,7.62491395208086,7.77488326549686
"ILMN_2822000",6.96838543368739,6.95953528768481,6.81576498991824,7.03066178332844
"ILMN_2636624",6.85218039578044,6.71659126677881,6.89385833349137,6.89566948861661
"ILMN_3163124",7.59457847961757,7.55449898052199,7.57870846152501,7.6063183869165
"ILMN_3162636",8.14356888910496,7.84938192764625,7.97858534183992,8.1439286728764
"ILMN_3162658",7.25955968637725,7.24598461149276,7.207326884536,7.06450061214537
"ILMN_2674884",6.96530632518192,6.45155291716928,6.84597546770562,7.3515682050265
"ILMN_2692797",6.36238429911222,6.26685654678007,6.67404603347577,6.89674821930887
"ILMN_2983516",7.53011684167272,7.30449705282851,7.5557057352197,8.12695268517586
"ILMN_2675811",9.88273491135786,8.65494739252181,9.71960977586957,9.77318013096747
"ILMN_2665063",7.32619274258724,7.80132613544278,7.28799787822372,7.71211341879516
"ILMN_1243129",9.90148068138739,10.1964861352727,9.71400220559961,9.14926393299889
"ILMN_2578829",8.0943036096427,7.96236871134312,7.94342404515414,7.67946504816464
"ILMN_2583228",7.81265359926315,8.14734275178089,7.66220318402836,7.82846417049447
"ILMN_2605076",6.57700295167257,6.49181482375957,6.81679049443009,6.66210871777481
"ILMN_3048630",6.90921494717066,6.73804923766265,6.75580692846446,6.85489748947922
"ILMN_2746614",6.63126730174619,6.78600504726042,6.82347057057656,6.65950152799421
"ILMN_2633732",6.88299395909749,7.03897748049485,6.85587876829172,6.83726703458699
"ILMN_3124491",6.62359505415128,6.72450764135123,6.6593223078922,6.57084498358269
"ILMN_2700059",9.58359460638385,9.61838901015648,9.54439852248069,9.25704576911749
"ILMN_3146420",8.67583179350822,8.77862530238342,8.62541064292101,8.30490421223731
"ILMN_2756550",7.15397430475567,7.13183019819587,6.96197736154307,7.24789981445238
"ILMN_1214122",7.00096401912141,7.04297016165006,6.94781041043681,6.99061712597579
"ILMN_1229114",6.56957572983221,6.6456845415895,6.49128351986184,6.66505583136642
"ILMN_2797239",9.30223942731531,9.24034785360855,9.02387366512516,9.06877212306206
"ILMN_1225762",6.48968517258027,6.59658880963937,6.64927229622083,6.37312293933234
"ILMN_2629731",6.82085039691068,6.89988720450001,7.08944510401393,7.13133018340065
"ILMN_2716511",7.68661441968712,7.84607829234996,7.94187480927338,7.85295972439846
"ILMN_2650953",7.71128807290684,7.94233707234677,7.83991290895954,7.95960516507243
"ILMN_2721789",7.16982354012929,7.72020428549004,7.11581627474269,7.33259675980052
"ILMN_2737479",7.27407380857699,7.23361936099402,7.27106748933385,7.36742560881256
"ILMN_2998026",8.36031639176879,7.93894628771552,8.49584726665864,8.37393744499692
"ILMN_1227247",6.72834626409977,6.95343733530255,7.01089869747562,7.01452645244197
"ILMN_2646369",7.05205931317632,7.24471891087244,7.59335707134394,7.15828589842883
"ILMN_2918312",7.8753181797386,7.74989161323234,7.24952645510059,7.0355756894522
"ILMN_2722579",9.07376147881738,8.86146405702897,7.99979280510653,8.23531700653371
"ILMN_2827072",7.60883587815465,7.33766176245214,6.34779377756219,7.11022235575106
"ILMN_1235006",6.91086453497979,6.83206992959438,6.28539001398659,6.47163287370609
"ILMN_2622915",6.59112714952347,6.8428845589362,6.69397421343102,6.40280797301063
"ILMN_1214917",7.01459013732959,7.1462976834829,7.06774048410977,6.98021351101873
"ILMN_3128363",6.66584239499374,6.97471632935228,6.82566152246927,6.67199141797289
"ILMN_2694440",6.69926510652205,6.66573084970892,6.51561081510474,7.00998941922981
"ILMN_3051931",7.18959519983747,6.99449606540207,6.8733635620799,6.85367784865268
"ILMN_1222763",6.46970592328707,6.94073924546786,7.16023045349342,7.37135042953235
"ILMN_2988480",8.01430376293636,7.68503711328393,8.48339077057076,8.46301625198104
"ILMN_2653860",8.3831739641047,8.12337267051021,8.8937667229958,8.89143830194198
"ILMN_2987709",7.27250455360222,7.04338414436281,6.97415941521882,7.38480353398722
"ILMN_2790312",9.80146948560115,10.0825037734797,11.1856498394464,10.2234315407934
"ILMN_2687204",8.75336085869916,8.93605090315863,10.3464830009674,9.29532418623761
"ILMN_2439813",8.70542762419989,8.46488595960785,8.45446065725226,8.53925632971753
"ILMN_2721413",6.87868177038549,7.29647620101168,7.22595532766414,6.96895703900673
"ILMN_2797825",6.74546921225328,6.90489384038638,6.81264196371835,6.94839695432422
"ILMN_1212959",6.85644556443303,7.0031608083912,6.90783316050259,6.87047867318488
"ILMN_1217704",7.03924341048659,6.96449668211661,6.91751161456075,7.05583399930117
"ILMN_3149256",6.63297326355855,6.51570768862362,6.80669442357177,6.64753724385597
"ILMN_3163569",7.42265590133833,7.36836159611372,7.27707480424595,7.28390624477462
"ILMN_2856537",6.58379509186077,6.54663262619569,6.70522972427529,6.62958629701581
"ILMN_2461172",9.2139328465247,9.49890249265977,10.2885548299939,9.25599319744269
"ILMN_1258950",8.22710918434026,7.94917401255038,7.51563430862466,7.72965866247274
"ILMN_3152241",7.01834227460635,7.25072872773232,6.75656872705963,6.8334148089838
