liver_tumor_myc_batch1_rep1	liver_tumor_myc_batch1_rep2	liver_tumor_myc_batch2_rep1	liver_tumor_myc_batch2_rep2	liver_normal_batch2_rep1	liver_normal_batch2_rep2	liver_normal_batch3_rep1	liver_normal_batch3_rep2	liver_tumor_myc_batch3_rep1	liver_tumor_myc_batch3_rep2
ILMN_2543688	8.57872761295424	7.20752149333708	9.14057206887879	9.22656211449173	7.38017033220471	7.69701619464367	8.14112990701332	8.02247379173306	10.1525568115917	10.8624016025473
ILMN_1259789	7.36105464179735	7.49483638842116	6.10712080551179	5.95294615065086	6.02164783955896	6.30201679734576	7.30053377249537	7.50148253682406	7.2889977674145	7.51859257497781
ILMN_2816356	7.02927783906566	7.0971846456792	6.05116618973273	5.72818106885307	6.00228283578436	6.48160882190875	7.77133083035165	7.74042217110683	7.75667506895137	7.34756091361828
ILMN_1224596	7.64139935341588	7.92596204562661	6.28261799945867	6.30518212950555	6.0899688842213	6.62416382102759	8.14275803826113	7.89333490512322	8.21468229906314	8.15746606016643
ILMN_2808939	9.83617181097759	6.92922999836259	9.90833005509264	9.09749511883678	10.5028223584101	10.7306573612075	11.7898935606353	12.1781155669731	11.2949810904862	11.4665310248526
ILMN_2771349	8.33427350880757	6.93182840646281	9.33639252325919	8.37896911219262	9.2180178997512	9.68519314917113	10.9041088490425	11.5955968991758	9.62861941861231	9.92797702248988
ILMN_2773981	10.2301892007329	6.94206461930809	9.81184523882081	9.36737750935745	10.7406893900964	10.8569197654388	12.002577359131	12.3958424290491	11.4800454409512	11.6333951080154
ILMN_2634564	9.36591044092529	7.17668031003415	9.19704273587401	8.49333460435398	9.1864153165348	8.83569958283656	9.9747476188828	9.81502413853611	10.8967399493208	10.1303328717661
ILMN_2435996	7.56981080815778	7.09882429462178	6.47816645294534	6.93063392100283	7.41566551255451	6.81011716242465	7.59270107876663	8.25735059616341	9.13169230139088	7.89369529797304
ILMN_2480021	7.56992014850755	7.29539197105415	6.62077300307108	6.90752361949557	7.36082448360884	6.95431422261855	7.81408460616595	8.21934824099035	9.05818855735507	7.76639274886452
ILMN_1236537	7.33637757063592	10.3023269915081	5.94972593739796	5.89066069764891	8.49141070221576	8.73345450546002	11.5004140605353	11.3927138679169	7.87976012972171	7.82055937519676
ILMN_2734484	9.72810384211158	7.3312734754229	8.51512905277856	8.03612167459712	8.56519587429571	8.7198081341638	11.5086971569633	11.9766085133491	10.9583054786652	10.9618493827639
ILMN_2952292	8.01708816565604	7.90872855996211	7.18136373722682	6.94887544382616	7.55343173771649	7.58641517166086	8.84745743876096	9.10083313978251	8.73351136413539	8.5714398044866
ILMN_1233543	7.62307781855087	6.92953656301853	5.89600143925962	6.41888860524578	5.53579978455392	5.65990586830402	8.00663071661958	8.14286816539853	8.13414429968583	7.95375325354165
ILMN_1213681	8.49818742904472	9.2428373153506	7.85335961995209	7.3771656217387	7.90871295057999	8.49942407624659	9.2725949709371	9.4231152271522	9.60980869441243	9.47295052128298
ILMN_2735413	8.25065300724573	7.04965418083729	7.35496889681126	6.55753055991699	9.17637463850995	9.20552337544031	10.4961654626571	10.9159484503144	9.70941979898907	9.74437510357336
ILMN_2735415	8.47894026595132	7.40795643892363	7.48530666466907	6.60404073577756	9.45407685670292	9.59549634101182	10.9762744813676	10.9110535590115	9.61519073897855	10.1429669281259
ILMN_1237980	7.32749426146639	7.58045870281841	5.65146254954126	5.72618150385204	5.62106634926769	5.68502472197421	7.33115745657531	7.31727760918197	8.05270660808086	7.61990338780275
ILMN_2891688	11.2914689079911	6.9086736261956	10.0099071168733	9.17936486748342	9.47843645696237	9.23019442552721	11.2708763760724	11.6068940868768	12.0762083351008	11.834503245585
ILMN_2484274	11.444181044959	7.4532146538873	9.96150645327463	9.68280339637013	9.58794399316798	9.17307320144281	11.2949810904862	11.6176468726896	12.4297344884671	11.9916109488749
ILMN_2686463	8.52788082595579	9.07968357404043	7.3862860896551	7.27748036657752	7.75341383159793	7.69424521852619	10.2402005110426	10.0257039305407	9.69667200421359	9.30270597385168
ILMN_2712923	7.89316195739658	8.71302970668365	6.82922246123094	6.64978091405153	6.97614825227964	7.16017422049671	8.9543833977688	8.83184320600332	8.53874882580004	8.0644757539018
ILMN_2670313	7.87071825985367	7.22913508691131	7.00444417206209	6.53860640912667	7.40424279709747	7.17213568968624	8.99608455126002	8.87559271184269	8.90043672719549	8.18819838748109
ILMN_2637698	10.2558575860823	10.865983787861	8.92951777449126	9.62615372718028	9.23223341260508	9.07811971138245	11.431051067533	11.2866768743257	10.6967621883069	11.3221350447911
ILMN_2674228	8.33634253179224	7.46226504171915	8.09552598921727	7.58473818928936	7.69932848446678	7.99704438076144	9.36409585058695	9.36610595772494	9.26257632910199	9.37588920869123
ILMN_2438555	9.77028719050183	7.03785385434362	9.56747870959023	8.87062133001302	10.7798621404193	10.9713700321353	11.9270387433096	12.0793581091078	11.3205821259153	11.1314727694015
ILMN_2848071	8.64824665651918	7.71533983326704	7.63803780556698	6.56352123771521	10.1185990732465	10.5051892947154	11.7118261171911	11.9930523916369	9.43019733934012	8.88081207996127
ILMN_1248518	9.31413195623848	7.22351667344806	8.63607308301327	7.12721435865058	11.7609942205435	11.4835701858896	12.4762996586894	12.6810937066893	10.4954403423351	9.93271119285698
ILMN_2658619	12.2759980475785	7.38093546383122	11.2134479885887	11.9886660494742	11.0262422763247	10.744473328883	12.747467545286	12.7607977448808	13.40253992721	13.2212881902254
