"","liver_tumor_myc_batch1_rep1","liver_tumor_myc_batch1_rep2","liver_tumor_myc_batch2_rep1","liver_tumor_myc_batch2_rep2","liver_tumor_myc_batch3_rep1","liver_tumor_myc_batch3_rep2"
"ILMN_2666297",6.42429441378449,7.85564649846759,7.15037546394805,7.14899949363278,6.93576638381999,7.32474048310335
"ILMN_2469448",5.96794910455566,11.169574850428,8.37899760387645,8.53280205542324,8.73541513187338,8.62783311879428
"ILMN_1249756",6.74558507734393,7.59388493102282,6.95609353838097,7.03767713140262,6.7485852264816,7.9365841204683
"ILMN_1248994",12.5397485675036,8.96215471493495,10.8577686591765,10.9458939296165,10.4971850425183,10.702958933566
"ILMN_2624451",9.89608928352273,10.2524068500352,9.81295798039552,10.2288039640976,10.007269528937,10.2479607936858
"ILMN_2758990",6.48305251381078,7.76048470345032,7.11925285881697,7.13572638991495,7.15279384934716,7.07930133644314
"ILMN_2451951",5.66419838877927,9.7734608862873,7.73347156676177,7.63748738991136,7.80428701496678,7.70007257849321
"ILMN_1252437",10.8359356935416,7.8017148580373,9.26922210749673,9.61736735068521,8.82183361586175,9.56687802911405
"ILMN_2653735",9.98140456237404,9.29708940787666,9.45798149255617,9.85944245318261,9.14599524388006,10.0935687508826
"ILMN_2604205",8.55749175754113,7.24688670929802,7.9111474238521,8.16745573479346,7.66809679167152,7.86205698336121
"ILMN_2637804",7.84996666555544,7.51450017192921,8.26076843845211,7.52643187470628,7.4942161917367,7.44751717007419
"ILMN_2524020",6.97811960500323,7.27626863059545,7.19521025900348,7.11075939736124,7.05211148216707,7.15069533266559
"ILMN_2680102",5.78414786907702,8.84573125415675,7.41308786763128,7.26016985624118,7.30051200442826,7.28598851816682
"ILMN_2474666",6.56345466920254,8.27355528885376,7.34237671766449,7.09901912501513,7.57772591186864,7.65489816156435
"ILMN_2445637",6.39889553476371,9.11021316429587,7.69257183630012,7.67659185514326,7.92941086535369,7.7196428413221
"ILMN_2605417",9.86587052213143,9.22612921386692,9.72073726939208,9.5958844091502,9.20597957474006,9.66139821871436
"ILMN_2506388",6.54399661723219,8.6446232986371,7.16900509304178,8.19393538343372,7.37811835469901,7.63618100056405
"ILMN_3161693",5.55077850816297,9.92569466958514,7.70589308594437,7.56496953821902,8.01221384951714,7.66986988181567
"ILMN_1226326",5.97494673425896,9.5662529770847,7.71057089781662,7.72502852736004,8.0259262248078,7.62087377270286
"ILMN_3082287",7.74073990006631,7.76930450982151,7.97255144811195,7.54119957601529,7.50256739793212,8.00377039771629
"ILMN_2646836",6.44929092759694,9.0142387828665,7.89605394431234,7.68208749750337,7.66219433468984,7.68672364442134
"ILMN_1221212",5.56994862736584,9.30050298883072,7.57412989380207,7.62264149306015,7.10679812558422,7.4373337199467
"ILMN_3033621",6.44992622990481,7.30929193268817,6.86887297438584,6.85333199425384,7.02921167245079,6.76701968409551
"ILMN_2736038",10.9110386305788,8.04681543648094,9.72038332934945,9.57007917575344,8.83153624335982,9.79370938565683
"ILMN_3161452",6.83341650038439,7.81821717573423,7.45691990415993,7.26119722882966,7.55828917318862,7.02686104605902
"ILMN_2694356",8.89301314772503,8.53276500332831,9.04882501125847,8.47582638857672,8.86202686909007,8.46487803318143
"ILMN_1252267",8.7157443633276,7.88070067866936,8.90954238681967,7.95706608234547,8.32597817708906,8.00030343773974
"ILMN_2833356",10.1781493525117,8.32701543792935,9.43003610162297,9.18175434405024,9.17013759906058,9.22840153614838
"ILMN_1249882",6.42482726286742,7.86595440129903,7.22844862926801,7.17568333684478,7.03225541093684,7.14517595128326
"ILMN_1230276",9.19197462570294,7.54648069452681,8.42115044192016,8.03156719477627,8.55238704898974,8.47180595477335
"ILMN_1254551",10.9824504263513,8.0647653781892,9.58991440791126,9.69040667658256,9.35203448434601,9.46207604024111
