"ID","Symbol","kidney_normal_batch1_rep1","kidney_normal_batch1_rep2","kidney_normal_batch2"
67608,"Narf",8.4841987242238,8.15144556219597,8.69931223851316
67609,"4930453N24Rik",11.215057471294,11.2120305422496,11.4590290679109
67610,"Rspry1",8.00592584796082,8.37167874156748,8.07322650177159
67615,"Ube2r2",7.22183403187472,7.11127932136644,7.15333704119443
67618,"Aasdhppt",8.0341071481676,7.74981793313004,7.88781994914314
67619,"Nob1",9.1287859111556,8.60802170186353,9.17142639329495
67622,"Mxra7",7.2195494998673,7.17684840280659,7.32056430409943
67623,"Tm7sf3",9.62643511837924,9.32665545128712,9.31767714320182
67629,"Spc24",8.09439799180077,8.08849675787955,8.23877093694139
67630,"Samd8",7.7927354611426,7.6066357450927,7.82955805221845
67636,"Etfrf1",12.1620035154018,12.3342242396891,12.1235162924672
67638,"4930483J18Rik",6.29069664753847,6.49633554998127,6.49327639039263
67642,"4930515G01Rik",7.63746226315553,7.21954561100183,7.6371882305482
67652,"Spaca1",7.41511075157842,7.12766467970471,7.26007972958471
67653,"4930544G11Rik",7.14867387553808,7.04321454673666,6.94652138825011
67655,"Ctdp1",6.9490803493607,6.99056080541809,7.26012218115197
67657,"Rabl3",9.14262741228594,8.82029924201657,8.98879392198361
67661,"Ift172",9.12980596143367,9.24385966557155,9.16730794776818
67664,"Rnf125",6.69060635436859,6.7966454847923,6.95464710710456
67665,"Dctn4",9.23109650619205,9.53325693828732,9.42679116865894
67666,"Hapln3",7.09633875155589,7.45052226734129,7.34346337148635
67667,"Alkbh8",8.15711421832648,7.95190699364888,8.13431338160483
67669,"Hikeshi",11.5080677028546,11.4132001120444,11.142779260108
67671,"Rpl38",12.3080837078554,11.8064393779205,12.0927028200021
67672,"0610040B10Rik",8.11142323072042,7.79883389062502,8.10068289227537
67673,"Elob",12.8399182163901,12.5799383114481,12.9642208487936
67674,"Trmt112",9.2724171432764,8.32168120206741,8.68956858403616
67675,"Cuta",9.63542063776152,9.28912961533063,9.46904425935213
67676,"Rpp21",11.4585948942409,11.3748760810661,11.6540597668502
67678,"Lsm3",9.86331931049871,10.0490147723045,10.4479387732499
67679,"0710001D07Rik",8.47611797303534,8.51395054097509,9.43902844762197
67680,"Sdhb",11.7494767780703,11.7134558510204,11.5771971048207
67681,"Mrpl18",9.77802322899401,9.14802124268126,9.59723500694796
67683,"Pbdc1",8.44922684442083,8.87330904832752,8.4398161924957
67684,"Luc7l3",10.8108254582609,11.1102975035086,11.2211653301836
67689,"Aldh3b1",8.46572871985122,8.62081148953649,8.61075651592346
67693,"Hypk",12.137945234742,12.1751308463003,12.5259700722659
67694,"Ift74",7.31304011560028,7.2636634022129,7.29049373036359
67695,"Ost4",9.95438057168218,9.75882052739766,9.66450973824978
67701,"Wfdc2",13.5985689389151,14.2822079949516,13.8561440356973
67703,"Kirrel3",6.44980035653698,6.65705780423493,6.69458464493213
67704,"1810037I17Rik",12.2809601002066,12.4191525771752,11.8761703203745
67705,"1810058I24Rik",8.46164345331137,8.46735415377062,8.71069023853263
67706,"Tmem179b",10.4340969351949,10.2008486429652,10.0955141349652
67707,"Mrpl24",11.1573143543456,11.2166175694048,11.7577362227244
67708,"Pcnx4",7.52632699017587,7.76924488598123,7.80398915131807
67710,"Polr2g",11.8496048450078,12.0454501814819,12.352928551619
67711,"Nsmce1",11.1975650245455,11.53409152694,11.3395687324324
67712,"Slc25a37",9.29990315032969,8.97646380840089,9.17633942265468
67713,"Dnajc19",10.660965342208,10.3811552052081,10.2299032316969
67717,"Lipf",6.62369570288923,6.4506609145741,6.5214289141775
67723,"Cep83os",9.01740636208327,9.54664791850839,9.0737352218317
67724,"Pop1",7.12199355918042,7.42959210559063,7.55176276408458
67725,"Nudt13",7.35796432112777,8.11752634415299,7.54698889598752
67726,"Fam114a2",10.6074238512821,10.7020228100627,10.69098745212
67727,"Stx17",8.25575778221036,8.0855667044645,8.30240273872631
67728,"Dph2",8.39902164162872,8.19989664603041,8.65251812126168
67729,"Mansc1",8.99219574520734,9.59453114824654,9.1723079737274
67731,"Fbxo32",6.60126813806848,6.99208489336339,6.63402269018554
67732,"Iah1",11.7626399982042,11.3004100728538,10.9650943477638
67733,"Itgb3bp",8.78247568170734,9.65602999878431,9.04824549245262
67736,"Ccdc130",9.89330071802865,9.76033906607185,10.3543482396803
67738,"Ppid",10.7279000360669,10.7253163402885,11.5202965978445
67739,"Slc48a1",11.6601286749269,11.7222893152671,11.4423466025071
67742,"Samsn1",6.95574226973603,6.91567448314671,7.05036681529623
67746,"4930577N17Rik",7.96617176897399,7.54847502095583,7.88783675746432
67749,"Mgarp",6.83631872526442,7.09311859887631,6.83689952833571
67755,"Ddx47",10.1035671995952,10.3018948959528,10.1140554398512
67758,"Aadac",9.37727640102351,9.67074306499111,8.78610131535809
67759,"Plgrkt",10.8397127861958,10.7853261547182,10.8297065094292
67760,"Slc38a2",8.81427089840671,8.32183184725618,8.91470989126995
67763,"Prpsap1",8.91845750238215,9.23464471619136,8.90031115324542
67767,"Jagn1",12.6903465487253,12.5593131974759,12.4302104900823
67768,"N6amt1",10.020526905463,9.64100093700654,9.97734291365291
67769,"Gpatch2",8.36847997138162,8.13608253672277,8.31861480159307
67770,"Caap1",7.62403265719341,7.24070162962944,7.58142429418312
67771,"Arpc5",9.99926999750366,10.0652384409134,9.82725701941115
67772,"Chd8",9.69456633861953,9.57426494748963,9.79591394936076
67773,"Kat8",9.0703256113539,8.94178986597747,9.17188102091123
67774,"Borcs5",8.43601249346058,8.10122480956246,8.41842328101561
67775,"Rtp4",6.57483875132596,6.74361511949093,6.83992663526562
67776,"Vwa5a",10.0730236131247,10.4393405696916,10.467762466231
67778,"Zfp639",10.4128663205932,10.4954666763228,10.8864875524354
67781,"Ilf2",8.5624557988442,8.7534744536434,8.82574463393977
67784,"Plxnd1",8.1728410202071,8.20607740339031,7.99296622954364
67785,"Zmym4",9.34437135737036,9.61063219470876,9.77396868698728
67788,"Sfr1",8.76308720469616,8.85592484298816,8.97367752038867
67789,"Dalrd3",10.4639627028235,10.1858942591723,10.0461930202474
67790,"Rab39b",7.37029061922781,7.18898061082846,7.25419564159898
67792,"Rgs8",6.63892101076439,6.60972684175252,6.74216037810037
67795,"Rnls",9.13377287950165,8.28664086995384,9.02459316471434
67797,"Snrnp48",7.37187482076453,7.37893562947821,7.58170051643108
67800,"Dgat2",12.6892249405338,12.8657738086549,12.289186123282
67801,"Pllp",9.35010456278096,9.16882547004146,9.35938155466325
67803,"Limd2",7.15752736917877,7.05884396723123,7.21554594574705
67804,"Snx2",9.79615646662727,10.1798104037498,9.53756422910809
67808,"Tprgl",10.176111281289,10.4278438603376,10.0164869293688
67809,"Rmdn3",9.18231133005663,9.0026632819293,9.03629928641482
67811,"Poldip2",12.9660261633346,13.3197065483773,12.8244761746806
67815,"Sec14l2",7.11154486877131,7.31072250137426,7.3235360827352
67824,"Nmral1",8.11540351806994,8.36852105549639,8.8246094291612
67826,"Snap47",9.59964903603584,9.49708054087654,9.04030899536824
67830,"Rer1",11.1974619687838,10.7866905238041,10.9460836731026
