"ID","Symbol","logFC","P.Value","adj.P.Val"
105348,"Golm1",2.96224152025188,1.28860396398046e-10,2.67106125000417e-08
107765,"Ankrd1",-3.27752451933427,1.27388962568326e-10,2.67106125000417e-08
242553,"Kank4",-1.70979604764481,1.25435600739907e-10,2.67106125000417e-08
108148,"Galnt2",1.16692972471248,1.37335389625454e-10,2.80006596847832e-08
12398,"Cbfa2t3",-2.31668611096531,2.28736731474604e-10,4.58838504733815e-08
226265,"Eno4",-2.08318342302326,2.36029447707811e-10,4.65952101768578e-08
109979,"Art3",-1.70774899341728,2.41460984984752e-10,4.69226604727401e-08
67073,"Pi4k2b",1.35220334677753,2.67461907259969e-10,5.0400359705943e-08
241556,"Tspan18",-1.29957418808516,2.64907055619178e-10,5.0400359705943e-08
68753,"Mybphl",-3.87704228947956,2.71567376895802e-10,5.04102009918371e-08
229600,"BC028528",-2.89722043690978,2.78219940480898e-10,5.08856088200137e-08
21859,"Timp3",-2.5570777913818,2.83453112107184e-10,5.10913964532905e-08
20496,"Slc12a2",1.79578574602107,3.29997462453752e-10,5.86311205791044e-08
17896,"Myl4",-5.80092212415088,3.41656100827609e-10,5.98475623379292e-08
56279,"Dipk1b",1.37200553746008,3.56809442582831e-10,6.15999734581261e-08
243653,"Clec1a",-2.28881906094654,3.61566138332653e-10,6.15999734581261e-08
19118,"Prm1",6.78331660439595,3.78351005617245e-10,6.35885332008334e-08
21924,"Tnnc1",-3.7371981170812,3.95335576338844e-10,6.55571808390161e-08
16644,"Kng1",6.76478587476321,4.21100441264796e-10,6.77852881239706e-08
16826,"Ldb2",-2.52783122825261,4.15421565591237e-10,6.77852881239706e-08
66402,"Sln",-4.24514561850578,4.25122816890706e-10,6.77852881239706e-08
53901,"Rcan2",-2.1492406698348,4.32269636424628e-10,6.80523730153556e-08
353156,"Egfl7",-2.5593029032178,4.43573760922628e-10,6.8959085807434e-08
66395,"Ahnak",-2.17871256317193,4.71524889296634e-10,7.23994450392869e-08
74776,"Ppa2",1.11696839312498,4.9917619962183e-10,7.57104194475207e-08
14863,"Gstm2",-2.65770940368473,5.24863565951005e-10,7.86473273461765e-08
19012,"Plpp1",-1.99136016566197,6.20029708700224e-10,9.07212880835846e-08
20947,"Swap70",-1.09689804729902,6.17833645221275e-10,9.07212880835846e-08
114301,"Palmd",-2.424095951752,6.92121779740161e-10,1.00092076449167e-07
13618,"Ednrb",-3.31725444930144,7.4482737366167e-10,1.04083348834047e-07
16149,"Cd74",1.59026125135343,7.41611044046146e-10,1.04083348834047e-07
319446,"Dpep2",1.79253569048618,7.43066542302102e-10,1.04083348834047e-07
68458,"Ppp1r14a",-1.65505289917016,7.7548665208382e-10,1.07163638799627e-07
233335,"Synm",-2.33206052191354,7.91521198753999e-10,1.08177463174764e-07
380842,"Stmnd1",-1.40909542811272,8.05660874097224e-10,1.08913090121165e-07
11972,"Atp6v0d1",0.966410863909669,8.72283548063004e-10,1.16651510615694e-07
171388,"Bnipl",2.18192946303484,9.89322210283134e-10,1.3089574818395e-07
16977,"Lrrc23",-2.41484414479523,1.10006933436022e-09,1.42516274077479e-07
26415,"Mapk13",1.67081564343917,1.09567329068924e-09,1.42516274077479e-07
231830,"Micall2",1.16667303951234,1.2597209794564e-09,1.61517008469064e-07
14613,"Gja5",-2.15245927338895,1.41654666543798e-09,1.77955463414669e-07
53318,"Pdlim3",-2.61357206160797,1.41403295612593e-09,1.77955463414669e-07
14792,"Lpcat3",1.21671851848638,1.45008154147859e-09,1.80346641313692e-07
19294,"Nectin2",1.21855961973002,1.48907379313044e-09,1.83362482823398e-07
17898,"Myl7",-4.67065252256206,1.53079447330478e-09,1.86651871220505e-07
22032,"Traf4",1.3441803579624,1.75950447592999e-09,2.10413049684051e-07
67916,"Plpp3",-2.21307873055443,1.75163226542173e-09,2.10413049684051e-07
677884,"Akap2",-2.500997231641,1.94934487742638e-09,2.30895259433828e-07
212503,"Paox",1.38205038878256,2.00806032894372e-09,2.35606097274274e-07
56012,"Pgam2",-2.87916985128966,2.08454611645911e-09,2.37848624315614e-07
67442,"Retsat",1.4169000628966,2.05430935489387e-09,2.37848624315614e-07
245945,"Rbm47",1.51454916356413,2.07213088325325e-09,2.37848624315614e-07
60596,"Gucy1a1",-1.83746496793554,2.30061494613477e-09,2.60115891682529e-07
20350,"Sema3f",-2.4990725563417,2.35384109787523e-09,2.63736231840309e-07
20388,"Sftpb",1.87737729278135,2.48626421595515e-09,2.76086321909234e-07
76477,"Pcolce2",-3.61936187904805,2.54150611870734e-09,2.7972311148994e-07
12575,"Cdkn1a",1.29570002276284,2.78072914688268e-09,3.00729812171999e-07
