"ID","Symbol","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
170835,"Inpp5j",6.76238203871039,7.02804417913221,6.99251353514958,6.84646980992321
170930,"Sumo2",12.8572107627383,12.9927480761761,12.8487244008058,12.8799732567577
170936,"Zfp369",7.06231602735572,7.2665523179424,7.12883210428592,7.13487548807147
170938,"Zfp617",7.18812518025554,7.14296858687362,7.29660079789156,7.69331270844532
170942,"Erdr1",9.8020013134577,10.2422735060364,10.2042654561368,9.73464611992693
170952,"Prima1",7.33650655981025,7.3098457910809,7.22511703968536,7.32878710765077
171095,"Il17rc",9.19803649573067,9.62200002897402,9.72171538945633,9.34654120121109
171166,"Mcoln3",7.11718853539671,7.45097923149559,7.23218105768664,7.31854280970272
171167,"Fut10",7.79796442638671,7.63616662147668,7.692326001279,7.83739243849539
171168,"Acer1",7.55732009507705,7.73441326158215,7.49550530080071,7.67450125785991
171171,"Ntng2",7.31225901356358,7.38156998794475,7.2053045315602,7.27099606074028
171180,"Syt12",8.94238621120405,7.85280257348186,8.07296996854206,7.85728124272949
171202,"Vmn1r16",7.41296671858092,7.46724890765411,7.42726045774302,7.36145036659897
171207,"Arhgap4",8.04499170304025,7.42636959791575,7.59544398458948,7.65999589242998
171209,"Asic3",7.74701808476142,7.68246795653917,7.88683970588442,7.42726045774302
171210,"Acot2",7.70086096214041,7.74588824317182,7.76580799824245,7.6771891317934
171211,"Edaradd",7.61512382346948,7.88643964255305,7.76987915732887,7.45476195126494
171212,"Galnt10",8.53487144478426,8.26360617457949,7.89230382193027,8.18919899812217
171224,"Vmn1r229",7.35595668096557,7.14296858687362,7.2976901003506,7.39006144883839
171244,"Vmn1r81",7.40135954334602,7.25989034989582,7.11601899332509,7.25665098428709
171246,"Vmn1r200",6.89784545600551,7.21644273916049,7.13301373873376,6.98569965236977
171264,"Vmn1r66",7.23637302663415,7.13266037714729,7.14395711642034,7.21829077539547
171281,"Acot3",7.45507030728796,7.36490067810689,7.3021248078324,7.3768850737475
171282,"Acot4",7.38979264537934,7.39097500615553,7.23332008273082,7.58735561398834
171283,"Havcr1",7.39403389536778,7.21850269379362,7.38812494513705,7.47466925361055
171284,"Timd2",7.21928954684878,7.06565173991897,7.10013667128545,7.02292258905563
171285,"Havcr2",7.75055879575986,7.44195073233637,7.45541217293406,7.60972671391421
171286,"Slc12a8",8.10053094003058,8.28514209414341,8.69217957631254,8.50915643250385
171388,"Bnipl",8.77519299656683,8.95994463239958,8.83835796727509,8.63618016153898
171429,"Slc26a6",7.41063684408438,7.30138187230402,7.60211888710427,7.2821038351649
171463,"Il17rd",8.94382636003001,7.90486464291219,8.43758754565108,8.59042913042842
171486,"Cd99l2",10.2395384592712,10.1351045410755,10.0228054066887,10.2712994303347
171504,"Apobr",7.9147148366873,7.64592840509147,7.41953953756379,8.22772673190263
171508,"Creld1",10.6688960614277,10.7567960568382,9.80478645936515,10.2393001743642
171531,"Mlph",7.55271712251522,7.50715043610633,8.07901803248652,8.13118174478487
171543,"Bmf",8.8923341002701,8.71095706523403,9.16962754016023,9.53873456924792
171567,"Nme7",8.49152290393696,8.34863499160731,8.52181109077452,8.53715404511272
171580,"Mical1",8.53762173610669,8.29621704545927,8.13883869284689,8.49499912259797
191578,"Helq",7.65660362482201,7.82738240360647,7.5544449586934,7.78524810594545
192113,"Atp12a",8.07868454619464,7.27850753656194,7.30822524844126,7.30289591307794
192119,"Dicer1",8.61846580270578,8.68642392574668,8.81695363344033,8.56176526362771
192120,"Bspry",9.21676101247539,9.51112875090567,9.88839128273165,9.44828411092858
192136,"Sugct",6.8370759770372,7.16176174330467,7.07394070272144,7.05168477503156
192156,"Mvd",8.90302508532923,8.48142105293187,8.850811922162,8.49828827098657
192157,"Socs7",7.12459113142737,7.36620208056771,7.23188752457505,7.24552471903671
192159,"Prpf8",9.25195353194138,9.09420667336531,9.01908714356497,8.90229047627803
192160,"Casc3",10.1847862562179,10.1281030991757,10.7977172468474,10.2528428020844
192166,"Sardh",7.34856219050128,7.11887620188373,7.11517373402104,7.47101467462558
192169,"Ufsp2",9.36380133044519,9.72850137544592,9.591020502848,9.53720313034692
192170,"Eif4a3",11.7210564542164,11.3402360892144,12.0412185080073,11.2386249186305
192174,"Rwdd4a",9.60789664534246,9.62600556943909,8.78699446922676,9.50697694738353
