"","kidney_preneo_myc_1wk_batch1","kidney_preneo_myc_1wk_batch2_rep1","kidney_preneo_myc_1wk_batch2_rep2","kidney_preneo_myc_2wk_batch1","kidney_preneo_myc_2wk_batch2_rep1","kidney_preneo_myc_2wk_batch2_rep2","kidney_tumor_myc_4wk_batch1_rep1","kidney_tumor_myc_4wk_batch1_rep2","kidney_tumor_myc_4wk_batch2"
"ILMN_2630047",6.60372908290773,6.92242777568687,7.06624666490927,7.79027190041542,7.41567450122422,6.87111598510679,6.41732937576341,6.5135789689482,6.34874556452226
"ILMN_2655795",12.6443226759717,11.9098171600011,12.1868354884546,11.4260887852258,11.5466947140045,11.8686854129404,8.44691094820014,9.54715732093372,9.34439185491383
"ILMN_2670368",8.91305725219612,8.89393694581927,8.89681544498688,8.33565084025054,9.03638796653766,8.24434408546077,7.17609165802991,7.61013200104236,8.02257906485733
"ILMN_3132559",9.34370663551913,9.07907121476542,9.24807689901735,8.70692738118776,9.65295994375814,8.68792801468109,8.06304020615079,8.14072708960538,8.57483362849502
"ILMN_2674140",9.25355286961045,9.01574565108749,9.18382033113989,8.65968486186288,9.74653849531446,8.40232160417709,7.46523059215063,8.05704871801763,8.36579120343236
"ILMN_2752362",7.24952130960309,7.03532675722997,7.02159725759673,7.14454015287708,7.30114638362734,6.83039337245586,6.79257685859032,6.79145151138748,6.9620032338911
"ILMN_2874084",8.9920950484862,8.95047484637204,8.40112774764979,8.19557850058248,7.3772297879198,8.58982704877436,7.36056598033739,7.25548084906453,7.25891901612614
"ILMN_2730999",7.10783625860169,6.91717819531073,7.10919562082809,7.11521293044446,7.35436486926376,7.1459197085986,7.12432565473042,6.78359519718546,6.75788013879011
"ILMN_1244145",7.64174566136296,7.3935162731128,7.24755183501411,7.30368099793026,7.22222032797964,7.1492906756257,6.49204107562626,6.79814770936898,6.8370034173495
"ILMN_2606660",10.2520469747026,10.3863925311092,10.1865302580254,9.8867060112282,11.2990900971263,9.22813212086401,10.8545518588555,11.1620874076773,10.3455822286777
"ILMN_1254529",6.47317120700072,6.54998785572307,6.66875563588969,6.92517593040335,6.76202910157477,6.53182419011937,6.69927060255559,6.50790215037678,6.76202910157477
"ILMN_2866175",6.39495869841769,6.77928378886986,6.79484331727553,7.15923460953012,7.63710531703855,6.86814443340962,7.68484338742984,7.04694896466901,6.85976423663965
"ILMN_2667164",6.49997616789704,6.86389217215718,7.04475016602147,7.44118630654265,8.05756837140144,6.75147515585078,8.3823657759023,7.5891452903286,7.5419311481984
"ILMN_2649121",6.59783761518506,6.78516969307716,6.84821439851383,6.59643216447392,6.59964049356067,6.53562304458974,6.89488468943244,6.80987798603192,6.73173256468409
"ILMN_1225035",9.9477999769235,10.0484820194777,10.0844557610648,10.4135048857039,11.281657240439,9.91372676323232,10.4014196596804,10.9462162611654,10.5553856545794
"ILMN_2746968",12.2843609113941,12.0463329241544,11.9585515333983,11.676773345262,12.0269768499344,11.9503957584049,11.9119845688226,11.2775112202942,11.6809455580021
"ILMN_3003076",7.82395310348918,7.93478807622777,7.82664255062565,8.38445839381091,9.72553575255602,7.63700115813337,8.04436465481671,8.97158190033316,7.94690371036878
"ILMN_2670601",9.9089668172438,9.67210393489323,9.84612064463701,9.8087587785905,10.1349814469883,10.0738708496659,9.9700485629676,9.6996769143112,9.7002984529634
"ILMN_2603253",6.77769479964893,6.89854172044979,6.79504027893698,6.66900091502581,6.74343899458056,6.75292720440908,6.63738298404905,6.81871510117492,6.57410550785569
"ILMN_2906549",6.40754664800285,6.36051153359124,6.43928744808721,6.54861774543835,6.35089325257829,6.48708061905784,6.44248289027608,6.77438127391837,6.66577702975568
"ILMN_2906552",6.45432024653782,6.56624364790702,6.73002122664695,6.68977283480736,6.60824334642802,6.70465584649536,6.94167657131549,6.83990548273978,6.72224251065825
"ILMN_2999007",10.2176376308729,10.1718673430616,10.266592517864,10.6935089532822,10.7435657056125,9.91196881857197,11.2113603756637,10.9626415487949,11.1347201342464
"ILMN_1246107",9.84475300389449,10.1705775577769,10.1076199290207,9.87128340312049,7.94836904496053,9.50305234290045,7.29205398823565,9.29360303486819,9.30834622211633
"ILMN_2661412",6.43137765488403,7.00095276949615,6.77762850200016,7.14572707471599,6.88396225471583,6.7521476538521,7.36382082893297,7.58245780719935,6.83137838970692
"ILMN_1212894",9.06449021025421,9.21167385916369,9.38637276176579,9.16644626652381,8.45922723733976,9.4800055535385,10.146397168268,9.55884796379531,9.96993974942854
"ILMN_1231762",6.55546722830597,6.63477534808809,6.50908654215652,6.6834554844317,6.78515531627486,6.55138215137096,6.69037144314306,6.60510790782635,6.5500372734137
"ILMN_1259822",9.49498000761733,9.43230175008198,9.4771167204209,8.8897878186881,9.61263306120995,8.84542661406633,9.43189026038163,8.77163078342791,8.94410262916984
