"","kidney_normal_batch1_rep1","kidney_normal_batch1_rep2","kidney_normal_batch2"
"ILMN_2778655",8.36077286449456,8.8825564196205,8.77902103457945
"ILMN_1232768",6.44411003349992,6.4745324417834,7.16842204641906
"ILMN_2552295",6.44802040804358,6.09222316611313,6.6996368399672
"ILMN_2669627",6.28743851385581,6.26964920041228,6.62501929125558
"ILMN_2655336",6.77916987748935,6.29682305143516,6.58497183260037
"ILMN_2419138",10.8547362960683,10.9574808880512,11.2725490161707
"ILMN_1255736",13.5783687021527,13.0182447588809,13.2650981297344
"ILMN_1213574",7.2895472134599,7.05185056885189,7.34675174306569
"ILMN_2832808",11.7736095157375,11.9095931879279,11.9458855192381
"ILMN_2475585",14.8496839859081,14.8806519735208,14.9663691534224
"ILMN_2494244",12.4198931032306,12.5398623642008,12.53362084838
"ILMN_2956765",11.7143895181167,12.2775156776349,11.5831853352833
"ILMN_2864062",10.1636174729128,10.2411279856353,9.97986443949927
"ILMN_2445166",12.2437596370054,11.8679886697451,11.7409206939822
"ILMN_2445165",11.7834822862146,11.4778759697683,11.3440081343841
"ILMN_3121255",10.1468135611198,10.1342098418181,9.4197392520004
"ILMN_2484527",11.6323810368178,11.873973227694,11.5897272278455
"ILMN_2450384",11.2829352129921,11.2708718532485,11.3302530029965
"ILMN_2486573",7.87985280391767,8.10151919888181,8.18724276769307
"ILMN_2744514",8.56939309069025,8.97807170207308,8.60598691651063
"ILMN_3082949",7.41022856782555,7.76609608722654,7.62365744845218
"ILMN_3012325",7.25682091364853,7.64898740035101,7.16949850628929
"ILMN_1229971",10.7255808509816,10.6272729282323,10.633300795501
"ILMN_2666347",6.93352313263355,7.0011318835643,7.2408872167891
"ILMN_2925923",6.47367144376495,6.68183753585074,6.54154921949269
"ILMN_1220029",7.18479580282477,7.0699342906379,6.87693561976595
"ILMN_2491589",8.24632598666891,8.75460561035781,8.34391236013401
"ILMN_2518546",9.44790835637916,9.54359509574006,9.64707030999003
"ILMN_2518406",11.5500241371257,11.4051077795186,11.5657686877307
"ILMN_2511391",8.38742702195972,7.94882446941872,8.1366991323185
"ILMN_2846432",9.42816542724374,8.60961765553981,9.00766088713743
"ILMN_2451022",8.54599289371036,8.59793615004277,8.06476561477765
"ILMN_1247834",6.47678418819529,6.44235927579509,6.47872642852836
"ILMN_2477870",6.6165215848581,6.34091990619537,6.46814257563483
"ILMN_3002745",12.2116063912038,12.1682484553213,12.2160231238273
"ILMN_2522693",12.3207584262498,12.2579955666283,11.8843622471441
"ILMN_2497999",11.5989280886309,11.554550450518,10.8945422436583
"ILMN_3163029",9.48203008150148,9.41423018741459,9.24645615234305
"ILMN_3064401",8.46559503164236,8.60983795854508,8.33745135644877
"ILMN_3142273",10.4869725392008,10.1731784976643,10.6156563980789
"ILMN_1230923",7.00115800092135,7.5706614839169,7.19854778806052
"ILMN_2458671",6.98135312472045,7.26168031514104,6.940471582571
"ILMN_1218264",10.7469382987299,11.2776971446964,10.8750478259546
"ILMN_2515601",10.8571046089668,11.5418389913363,11.0090799738251
"ILMN_2796472",11.0817350165558,11.6195442447493,11.648664012394
"ILMN_1213564",6.89452842189809,6.88461225402897,6.85052336856072
"ILMN_2628699",6.55217225927568,6.52367424413378,6.58545804610462
"ILMN_3151786",7.0277481958012,6.8883557196194,7.36770511805887
"ILMN_1225020",6.95985662508579,6.7269373048118,7.09533240110785
"ILMN_2616801",8.33676008217489,9.18665452398972,8.66130302634925
"ILMN_2936105",6.37380469004123,6.66852860757893,6.60787980929249
"ILMN_1244479",6.57309692833476,6.45756447228015,6.49932832508741
"ILMN_2491202",6.52716777103044,6.72458491474641,6.73044951210413
"ILMN_3160268",6.64450730939684,6.51273724552681,6.66304592115047
"ILMN_2846485",8.27145611562863,7.9597832830357,8.05956313526985
"ILMN_2469253",6.56951856407407,6.48996572711431,6.48697470201016
"ILMN_3161554",9.46875244161001,9.15426109285481,9.20668146572974
"ILMN_1249537",7.57863540545497,7.28131201423511,7.04210621883811
"ILMN_2561533",8.27806127280548,8.06171759893443,8.0294600317018
"ILMN_1244721",7.18339747105633,7.41132218259716,7.18671690079691
"ILMN_2653402",6.34114088306639,6.66030296082832,6.75211026127514
"ILMN_1237530",10.9004921932058,10.8774148442864,10.8781532983711
"ILMN_1213306",6.9563976270366,6.78620987311375,7.31144202585462
"ILMN_2541505",6.89719539900729,6.95328682522532,7.00779692895888
"ILMN_1224839",6.69219789460429,7.17265936848497,7.42310673292962
"ILMN_1230695",7.23736203093672,7.50405740933255,7.2188802920657
"ILMN_1230082",9.49373820933037,9.24753355727197,9.84371360510911
"ILMN_2420505",7.81234219092131,7.91567259716116,7.67902028210796
"ILMN_2893683",8.94401199868302,9.01844493444392,9.02667489331991
"ILMN_2491792",8.40453351206081,8.65945745883129,8.47022676854784
