"","lung_normal_rep1","lung_normal_rep2"
"ILMN_2958076",10.77300523596,10.672204323964
"ILMN_2767227",11.2366196737513,11.1111805091781
"ILMN_2634338",12.1457868980827,12.2255350795308
"ILMN_1236123",8.02607382703117,7.87891305248183
"ILMN_2938179",8.39414110712727,8.32250562084619
"ILMN_1222760",10.1750816748283,9.98248561956276
"ILMN_1225158",13.3565929589862,13.5404436541528
"ILMN_2732649",8.05602799683651,7.64354056571189
"ILMN_1234294",8.3405177626933,7.86033045628231
"ILMN_3163211",10.7598257815678,10.0452733352332
"ILMN_1257567",7.27321280985433,7.20022429091498
"ILMN_1242099",7.28453495400842,7.34126862322018
"ILMN_1244997",7.254851468723,7.27661879264606
"ILMN_2804251",7.68306039856004,7.7010031608512
"ILMN_2868927",8.31653610252726,8.15941411664915
"ILMN_2685275",13.5357613779867,13.4177940162653
"ILMN_2660082",9.25987564195011,9.50733629373259
"ILMN_1258421",11.1356090954699,10.8708414931213
"ILMN_1225374",9.67916117587169,9.55742780130773
"ILMN_2667614",9.78486995951871,9.68945205434293
"ILMN_2693905",7.63172273876195,7.28114763078261
"ILMN_2657921",11.7118417080212,11.1513456122002
"ILMN_2645901",7.52209106888706,7.22055971131019
"ILMN_2621472",11.3563247246301,11.5215973727667
"ILMN_2621471",10.2152068701262,10.2947858568098
"ILMN_2622829",10.2828712377148,10.2512308934581
"ILMN_2745954",9.56015368049312,9.98157620061334
"ILMN_2734060",9.64724479463346,9.22255342742343
"ILMN_2919489",9.91876076949935,9.77601657304576
"ILMN_2803878",7.57303173354757,7.50308035175293
"ILMN_2646001",8.11787033068712,7.65823380149996
"ILMN_2642876",7.52422336634484,7.47841572655488
"ILMN_1225594",10.2724475413723,10.0036057500971
"ILMN_2707207",7.55954439138395,7.20719739168858
"ILMN_1231371",11.2323272329034,10.5134870444926
"ILMN_1221251",8.76341987419209,8.82769995926402
"ILMN_1254562",8.78443036748463,8.54554371207463
"ILMN_1257630",10.7458161078259,10.9101367616764
"ILMN_3144761",8.44592012717519,8.67487637070866
"ILMN_2604806",8.70766110003648,8.69392248808101
"ILMN_2753109",11.8315150814366,11.9581267312725
"ILMN_1217406",7.35138098067433,7.3189381692012
