"ID","Symbol","logFC","P.Value","adj.P.Val"
81799,"C1qtnf3",-4.00598031876251,6.79068348795362e-09,2.11132463424396e-06
319165,"Hist1h2ad",4.57962954740826,6.67515252850241e-09,2.11132463424396e-06
80914,"Uck2",2.39801147687045,7.22810813966962e-09,2.1698621033836e-06
230579,"Fam151a",-4.02589507391012,7.27593533605668e-09,2.1698621033836e-06
11421,"Ace",-3.36882675670197,7.93109096881951e-09,2.31794064654719e-06
268663,"Cdhr2",-2.52643832816926,8.85420026096368e-09,2.53698879242083e-06
18399,"Slc22a6",-4.39400648763723,1.01921816163259e-08,2.81015754640321e-06
66912,"Bzw2",2.87023758501332,1.00508803379236e-08,2.81015754640321e-06
76263,"Gstk1",-2.57688016674809,1.06147617339323e-08,2.87247246699913e-06
23945,"Mgll",-2.47533905835831,1.11553547134739e-08,2.96387633505445e-06
11832,"Aqp7",-2.34519517972067,1.15581438600324e-08,3.01605636119024e-06
237320,"Aldh8a1",-3.18000930255352,1.24965229363232e-08,3.20371385383317e-06
80888,"Hspb8",2.66839560308548,1.46558775116414e-08,3.69252307030372e-06
23831,"Car14",-4.3501311967108,1.71170835400603e-08,4.10052363558855e-06
232078,"Thnsl2",-2.30055575499697,1.6609218398221e-08,4.10052363558855e-06
234076,"Tmco3",-3.07663765167618,1.68740415658493e-08,4.10052363558855e-06
18705,"Pik3c2g",-3.51573377896893,1.75935236694334e-08,4.14668002228114e-06
27053,"Asns",4.28537692520649,1.84707103197718e-08,4.28432523655278e-06
69101,"Ydjc",3.4046944672893,1.88159460103594e-08,4.2962096726466e-06
66725,"Lrrk2",-2.43368007739285,2.39431701800364e-08,5.38279301293648e-06
19228,"Pth1r",-3.30404696198852,2.49068260821329e-08,5.51459772027588e-06
52815,"Ldhd",-3.90798573488355,2.56087083810544e-08,5.58537396376638e-06
15374,"Jpt1",2.73340540952494,2.67528044758795e-08,5.74909899714746e-06
73710,"Tubb2b",2.7595712111631,2.78065628225414e-08,5.88894641341737e-06
272428,"Acsm5",-3.11583124558548,4.02408520068189e-08,8.40056529108064e-06
215928,"Mfsd4b5",-3.41626699437332,4.10073474220706e-08,8.44000518139039e-06
74338,"Slc6a19",-3.77080383487472,4.49249496019841e-08,8.99299025388758e-06
114641,"Rpl31",2.45482439269266,4.44400350338211e-08,8.99299025388758e-06
77583,"Notum",-2.84596348177752,4.62570528398266e-08,9.13451774524845e-06
104367,"Snora65",2.27955704082731,5.03361189725133e-08,9.80748942060449e-06
58187,"Cldn10",-3.05252401804896,5.11407873267295e-08,9.83316217375656e-06
14725,"Lrp2",-3.53033777056733,5.98827505415824e-08,1.10767928311917e-05
