"","lung_tumor_myckras_rep1","lung_tumor_myckras_rep2","lung_tumor_myckras_rep3","lung_tumor_myckras_rep4"
"ILMN_3126848",7.15519771569576,7.34124082053875,7.57255812871077,7.24685933393956
"ILMN_1237571",8.11154324574972,8.10097436361415,8.13416959007684,7.97636721611428
"ILMN_2904108",8.11881132812691,7.89512081866898,7.80304132658508,7.6998326874895
"ILMN_2861051",7.18713552896357,7.08308037031933,7.06133743711656,7.18065511866599
"ILMN_1257975",7.21152331709137,7.11087476146451,7.14749114556431,7.06386691371667
"ILMN_2673484",7.185742682247,7.2819879653519,7.20670914935865,7.30811145776873
"ILMN_2760254",7.53021123329988,7.12010824932256,7.00807841086826,7.19272432537134
"ILMN_2685203",7.33049677763869,7.51076416791789,7.53021123329988,7.39204903936418
"ILMN_2756846",7.22611109813239,7.15819941475789,7.17542479858969,7.22593041117105
"ILMN_2790113",7.96935054346124,8.45048958391487,8.13631829545096,8.14296858687362
"ILMN_2747281",7.85408917987057,8.16860944539646,7.66244585758066,7.84701818445665
"ILMN_2711966",10.576761852305,10.6960492541555,10.1856730045998,10.3475487060614
"ILMN_2822621",12.1661944725361,12.1516012860238,11.9419600095024,11.8979848606423
"ILMN_2822622",11.6028757118905,11.3936116716002,11.8013521875021,11.1877580060607
"ILMN_1232776",9.80918530687655,9.85230516809854,9.87783050544447,9.90014980960665
"ILMN_2883147",12.6856727426257,12.5874889367421,12.9161372132643,12.2284166335156
"ILMN_2982192",12.2978405314406,12.377595220372,12.1271782229438,12.1763757605875
"ILMN_2982200",9.71937812476482,9.58826957983512,9.02172608719527,9.21849512581539
"ILMN_2601654",6.87498134765377,6.89364282212286,6.7837349251762,6.94471206104349
"ILMN_2734045",10.8997817378379,11.6607730932694,11.8421293254063,11.4968412972732
"ILMN_1239507",8.17835362351289,8.17698342435535,7.78879988465571,7.67209380226169
"ILMN_2611648",8.99415894280014,9.17810459316819,8.88733486873515,9.30063855399372
"ILMN_2639373",12.6023364061459,12.5679174652242,12.6382166986508,12.3316849955158
"ILMN_2823250",7.84823170109382,7.8358530364445,7.54153226283452,7.65999589242998
"ILMN_2659762",9.6267014956999,9.90355238271261,9.89667770865438,9.71915348672169
"ILMN_2842366",11.6185891125479,11.5027137289138,11.1011488216437,11.3285732563753
"ILMN_2665316",11.9335938450967,11.8694058796786,11.3381792499001,11.3628102541839
"ILMN_2665552",10.1487466649984,10.7668342688156,11.1631857881952,10.5318748655693
"ILMN_1236904",12.5966542119355,12.8762375412323,13.0400820532149,13.0427056754702
"ILMN_2802601",10.4500319997969,11.0062822429343,10.798760351754,10.9046769536481
"ILMN_2691298",10.9381920471872,11.244311799633,10.9767431067343,11.0418986684067
"ILMN_1237265",12.5390376118774,12.690463202665,12.9373174925555,12.4892145103754
"ILMN_1231390",9.22723987922502,9.70090565766631,9.81169579189562,9.52841748127878
"ILMN_2643264",10.4779258207853,10.6652470785484,10.8953457014195,10.474802318716
"ILMN_1260262",10.4840298484596,10.9779998390294,10.9847433134446,11.1422865850613
"ILMN_1229110",12.7156349451721,12.961040396433,12.5874889367421,12.7723583943963
