"ID","Symbol","logFC","P.Value","adj.P.Val"
233335,"Synm",-3.13621494437486,8.78721132742738e-10,3.15615739711353e-07
19266,"Ptprd",-2.92386224722477,9.21373579536058e-10,3.18308978019165e-07
68458,"Ppp1r14a",-1.78787039427043,1.08060832643515e-09,3.63230425834431e-07
74665,"Drc3",-2.65201302799316,1.40919624253577e-09,4.61215096537298e-07
23945,"Mgll",-2.20960098171686,1.67108547426697e-09,5.32904872909189e-07
26364,"Adgre5",-2.98238515423521,1.74132448931999e-09,5.41421316841817e-07
677884,"Akap2",-2.78648685631617,1.87545576881817e-09,5.68903497482722e-07
16826,"Ldb2",-3.24234460866372,1.94384998658272e-09,5.75611006741174e-07
17888,"Myh6",-3.56250311922797,2.42489320233706e-09,6.85418108124227e-07
20671,"Sox17",-2.59162423447609,2.39108613720162e-09,6.85418108124227e-07
74776,"Ppa2",1.30366516132206,2.53513547749986e-09,7.00655109637018e-07
18127,"Nos3",-1.26062118519624,2.89074813042671e-09,7.65885150979302e-07
104086,"Cyp27a1",-1.71686056808386,2.89431551789235e-09,7.65885150979302e-07
20661,"Sort1",-2.37175463582779,3.00262214174823e-09,7.77991907852558e-07
16977,"Lrrc23",-2.54237496694616,3.55306306934796e-09,8.83788907869612e-07
108116,"Slco3a1",-2.04206742149885,3.50061537824471e-09,8.83788907869612e-07
234267,"Gpm6a",-4.12295836319881,4.07421857230112e-09,9.74443391994404e-07
442801,"Arhgef15",-3.5565720743816,4.03351991824881e-09,9.74443391994404e-07
17762,"Mapt",-3.10969873825028,4.29461192153706e-09,1.00072464282338e-06
67603,"Dusp6",1.1691544709905,4.3450294051992e-09,1.00072464282338e-06
117158,"Scgb3a2",-5.48523234861565,5.20733018908024e-09,1.17751937384711e-06
12511,"Cd6",-1.28289644729048,6.13818220335773e-09,1.36322450112786e-06
11938,"Atp2a2",-2.51241754665837,7.21255064727981e-09,1.57372793684595e-06
83921,"Cemip2",-1.65101506527633,7.94876017900336e-09,1.70446086803905e-06
241556,"Tspan18",-1.54992230703764,9.81031198765728e-09,2.06798051170328e-06
19012,"Plpp1",-2.58115387190749,1.01910860322956e-08,2.112442283061e-06
64082,"Popdc2",-1.91850762364606,1.17041877961143e-08,2.38631120688973e-06
380683,"Sec14l3",-5.1792154050608,1.37829527221502e-08,2.76481585492552e-06
20947,"Swap70",-1.36598489346983,1.49281961998892e-08,2.909874014053e-06
