"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2589403",0.129784809121023,7.9180282537195,1.21873536830662,0.253357185549144,0.461717495557541,-6.47513834971359
"ILMN_2796568",0.239592655486724,7.2108939028544,1.21834812014725,0.253497367238709,0.46192438982379,-6.4755860949174
"ILMN_2663674",-0.155153402703897,9.65707268003681,-1.21803756150743,0.253609833372906,0.462074341796233,-6.47594509593287
"ILMN_2701383",0.263264932600744,7.00613972103135,1.21790073306161,0.253659397505323,0.462074341796233,-6.47610324660402
"ILMN_2944366",0.172903998403918,10.1099565283681,1.21788686830597,0.253664420253219,0.462074341796233,-6.47611927121597
"ILMN_1236196",0.205893285527467,7.28796939930651,1.21782645879303,0.253686305590627,0.462074341796233,-6.47618908981035
"ILMN_1241754",0.148521201145767,7.18465090578377,1.217167713145,0.253925057700347,0.462460611076577,-6.47695027648476
"ILMN_2674407",0.15564143800102,10.5357541334489,1.21682460647416,0.254049483791175,0.46263860497897,-6.47734662191921
"ILMN_1234236",-0.164135078938646,8.64507032274003,-1.21673108296002,0.254083408277517,0.462651770209881,-6.47745464321636
"ILMN_1216020",0.127853753212683,7.18168419972171,1.21646019694603,0.254181689598122,0.462782105517918,-6.47776748755221
"ILMN_2656504",0.455107475671774,8.6639986556685,1.21632171578452,0.254231944492484,0.462798641355531,-6.47792739907536
"ILMN_3009880",0.161879253675997,9.41590701130029,1.21608306091694,0.2543185714555,0.462798641355531,-6.47820295568929
"ILMN_2691878",0.152067100391496,6.9023828965214,1.21606644272348,0.254324604422973,0.462798641355531,-6.47822214200141
"ILMN_1223176",0.163733257935154,7.83674112501272,1.2160574244134,0.254327878423935,0.462798641355531,-6.47823255389113
"ILMN_2937261",0.153867816159968,7.12131833891058,1.21598745062696,0.254353282823526,0.462798641355531,-6.47831333868195
"ILMN_2788260",0.213528668107705,7.87056452872709,1.21595374756635,0.25436551965692,0.462798641355531,-6.47835224769611
"ILMN_2732757",0.153296832074214,7.14683576189446,1.21592021111997,0.254377696471801,0.462798641355531,-6.4783909635884
"ILMN_2510383",-0.216975586983233,7.57640385807519,-1.2155603180169,0.254508400627318,0.462968881615059,-6.47880639095914
"ILMN_2707181",-0.166460693033632,7.33584305812271,-1.2155154597215,0.254524695864537,0.462968881615059,-6.47885816502019
"ILMN_1224644",-0.24187394167909,7.99058292458013,-1.21537597609887,0.254575370147645,0.462997124630852,-6.47901914391482
"ILMN_2774916",-0.181250631318553,7.45657054434061,-1.21532565751568,0.254593652860886,0.462997124630852,-6.47907721362768
"ILMN_2624695",0.138207576115196,9.61002179537718,1.21500397587837,0.254710557645714,0.463133846628025,-6.47944840649065
"ILMN_2757368",-0.300859377455051,10.548924558478,-1.21497172799682,0.254722279502529,0.463133846628025,-6.47948561385676
"ILMN_2935386",0.21173572694037,9.65599199004215,1.2148927220432,0.254750999412944,0.463137477271135,-6.47957676732924
"ILMN_1258162",0.27150589565647,7.48135509329054,1.21472811518209,0.254810845063119,0.463197687831856,-6.47976666949991
"ILMN_2629044",0.148827395617252,12.5221476294637,1.21459665588563,0.254858647558407,0.463199242718203,-6.4799183169556
