"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2688089",-0.107149112887313,7.00287042929105,-0.834315259524128,0.429972743736433,0.605399108107573,-7.11879590798618
"ILMN_1226428",-0.0972176746578572,7.13693999195611,-0.834194211598084,0.430036800305636,0.605440112599267,-7.11890030560911
"ILMN_2515893",-0.121355361322514,7.21926702390369,-0.833967430323412,0.430156827281839,0.60550754608922,-7.11909585901539
"ILMN_2625854",-0.311084314693133,10.8209843363327,-0.833956299495335,0.430162719025477,0.60550754608922,-7.11910545598928
"ILMN_2919860",-0.133392084384173,10.3267995240137,-0.833873320267565,0.43020664318228,0.60550754608922,-7.11917699713813
"ILMN_1219007",-0.122999285735947,7.32422694504351,-0.83379303953692,0.43024914191949,0.60550754608922,-7.11924620614033
"ILMN_2737658",0.153305908717293,7.34341659839653,0.833773687920034,0.430259386653323,0.60550754608922,-7.11926288809801
"ILMN_1228582",0.200031940980976,7.42540099740862,0.833658088604674,0.430320588429825,0.605544504553207,-7.11936253318167
"ILMN_1257110",0.132141836069918,8.34212689866449,0.833401698188546,0.43045635111116,0.605643356226288,-7.11958349745015
"ILMN_1256917",-0.0997032802695186,7.64199819969484,-0.833374203647105,0.430470911681959,0.605643356226288,-7.11960718965119
"ILMN_2591791",-0.0937236115646831,7.30947244728428,-0.833265331506796,0.430528571634509,0.605643356226288,-7.11970099902149
"ILMN_2939702",-0.304519242319083,8.65268659768648,-0.833214830368752,0.430555319467461,0.605643356226288,-7.11974450973258
"ILMN_1244074",0.15216285499387,8.87090175083944,0.833195488545033,0.430565564137332,0.605643356226288,-7.11976117365906
"ILMN_2680102",0.109405256475712,7.58097981326518,0.833004029853929,0.430666982173972,0.605736850191292,-7.11992610737229
"ILMN_1215884",0.126419201827443,7.45422885996969,0.832914597987963,0.430714361090025,0.605754328657894,-7.12000313843895
"ILMN_1244226",-0.12547916167062,12.6489501166282,-0.832829935659004,0.430759216590673,0.605768255658306,-7.12007605500073
"ILMN_2650732",-0.122895342011793,8.79441912569745,-0.832360779482149,0.431007842761018,0.606042540982442,-7.12048001057573
"ILMN_1246655",0.105920430730126,7.40237482682709,0.832251513964426,0.431065761756456,0.606042540982442,-7.12057406389272
"ILMN_2719266",0.121338358118477,7.37171046366174,0.83221343834231,0.431085946002504,0.606042540982442,-7.12060683613069
"ILMN_2770866",0.323394190808854,7.58976451708672,0.832197991870029,0.431094134512235,0.606042540982442,-7.12062013077778
"ILMN_2975295",0.0979823137054323,7.34541022079677,0.831996636287391,0.431200887462693,0.606096832538941,-7.12079341708039
"ILMN_2612117",-0.126418391413704,7.0088488814624,-0.831993223090211,0.431202697201843,0.606096832538941,-7.12079635417268
"ILMN_2652056",-0.110080508573096,7.81397192794802,-0.831853106120837,0.431276994367547,0.606152103591271,-7.12091691767689
"ILMN_2521753",0.0979601375421773,7.71917997239304,0.831745856004384,0.431333869923303,0.606182881904051,-7.12100918954481
"ILMN_2632276",-0.103527741509295,7.25093270885973,-0.83167536737923,0.431371253447024,0.606186263965814,-7.12106982855026
"ILMN_1249022",0.106964138267871,7.3211034653386,0.831499695793721,0.431464430474096,0.606268043177117,-7.12122093437515
"ILMN_1236221",0.132237326969882,8.8795395099966,0.831087889790687,0.431682909665381,0.606520143566636,-7.12157504992896
"ILMN_2821850",-0.235986145995955,9.81942874979147,-0.831016315131897,0.431720890739434,0.606520143566636,-7.12163658274397
"ILMN_2775547",-0.104131216267231,7.20397798715866,-0.830963662731976,0.43174883221866,0.606520143566636,-7.12168184526295
"ILMN_1219210",0.136819658479,9.2384374821572,0.830756289684735,0.431858892908092,0.606625585426336,-7.12186008988735
"ILMN_2681212",0.114935170695325,7.2746090192684,0.830557739077081,0.431964289640744,0.606724459337364,-7.12203071669143
"ILMN_2644092",0.271212125272472,7.60454551282599,0.830418712259677,0.432038100065857,0.606746499804222,-7.12215017086598
"ILMN_1217822",-0.159225844415648,10.7868857335894,-0.830396299062472,0.432050000235641,0.606746499804222,-7.1221694271068
"ILMN_1242204",0.155840756612135,7.26773257274181,0.830105410407867,0.432204466899762,0.60691424532813,-7.12241930419433
"ILMN_2685203",0.11565354146168,7.40232912406793,0.830000947235532,0.432259948014492,0.606942976508074,-7.12250902165562
"ILMN_1243095",-0.239821619670167,9.7164656468839,-0.82959108081881,0.432477679145526,0.607199502371283,-7.1228609419578
"ILMN_1250103",0.120644682027136,8.73278234691395,0.829385218902545,0.432587067066725,0.607303884919676,-7.12303764503949
"ILMN_2611676",-0.217606142014072,10.6919397666353,-0.829084076794839,0.432747118528714,0.607479370745273,-7.12329606693648
"ILMN_2425569",-0.138631313267382,8.05194069613017,-0.828913880781784,0.432837592916612,0.607514613921855,-7.1234420843451
"ILMN_2916791",0.147629925441688,8.35799012056051,0.82890496688172,0.432842331816229,0.607514613921855,-7.12344973122075
"ILMN_2590200",0.12583357361537,7.94347728812983,0.828719873790775,0.432940741132515,0.607602357439137,-7.12360849968273
"ILMN_3142573",-0.11413978353221,8.91256333626932,-0.828655511201988,0.432974964766796,0.607602357439137,-7.12366370147971
"ILMN_2887208",0.144792697918004,7.32302091284042,0.828252706509025,0.433189191876092,0.607853767662906,-7.12400909364055
"ILMN_2955883",0.104513021066404,11.9081336489925,0.827852433214744,0.433402146227032,0.608103351381208,-7.12435217692373
"ILMN_2729585",0.1087664643215,7.31727508071513,0.82757960853897,0.433547337068633,0.608257823908077,-7.12458594209956
"ILMN_2835686",0.145406997374499,10.9406185922222,0.826619335885507,0.434058642319257,0.608925880689254,-7.12540822567454
"ILMN_2936468",0.172736125973028,7.93245392968256,0.826527151684876,0.434107748762796,0.608941152743369,-7.1254871214339
"ILMN_1247752",-0.106982248220865,6.97359247586419,-0.826434802716328,0.434156946875598,0.608941152743369,-7.12556615087045
"ILMN_2993334",-0.102125915505745,7.52716259616649,-0.82640103651976,0.434174936498172,0.608941152743369,-7.12559504511968
"ILMN_2589871",-0.10898419127452,7.22938887336816,-0.826265149629147,0.434247338253599,0.60899341473322,-7.12571131567425
"ILMN_2809167",0.128732651814675,7.0198623623073,0.825830418592718,0.43447902358499,0.609269031293103,-7.12608318302351
"ILMN_2934522",0.115297818332287,7.38259340934215,0.825546288410185,0.434630494485407,0.609432127825775,-7.12632613894747
"ILMN_3127016",0.103334629515538,7.04806859393327,0.825343410967556,0.434738671829491,0.609534497328445,-7.12649957416072
"ILMN_1254710",0.149624885859204,7.21421682848771,0.82526010273558,0.434783098500192,0.609547474527328,-7.12657078215756
"ILMN_2609568",0.156404500957553,11.7347989899356,0.825002349160417,0.434920573604157,0.609570240327799,-7.1267910600164
"ILMN_2606415",0.119490962439568,6.95827368477282,0.824976080504672,0.434934585925443,0.609570240327799,-7.12681350616189
"ILMN_2696270",0.111163549934767,8.9626039757905,0.824940300252581,0.434953672464472,0.609570240327799,-7.12684407885696
"ILMN_2797689",0.210045549838703,10.0626199430461,0.824867559161377,0.434992477117265,0.609570240327799,-7.12690622960495
"ILMN_2750905",0.0967872627742166,7.10417741195125,0.824841207588586,0.435006535293286,0.609570240327799,-7.12692874353815
"ILMN_2437173",0.114375148362312,7.76521362105087,0.824834018593416,0.435010370571474,0.609570240327799,-7.12693488547962
"ILMN_3038544",-0.0943767693991493,6.7106668483964,-0.824536245316169,0.435169251276824,0.609743576188749,-7.12718924989514
"ILMN_2674866",0.114269551246229,7.14045923555321,0.824174649352303,0.435362239898863,0.609951917590956,-7.12749803022114
"ILMN_1242099",0.0966693772522387,7.37734804011579,0.824125771112229,0.435388331459103,0.609951917590956,-7.12753976052622
"ILMN_3103896",0.971995736103898,9.84398820692674,0.824035073996819,0.435436749133506,0.609970441257096,-7.12761718866994
"ILMN_2597332",0.100595603492308,7.04356514256794,0.823748587163488,0.435589711736188,0.610135399183696,-7.12786171591582
"ILMN_1219796",-0.102980862131773,7.15068211032023,-0.823644047124028,0.435645537665929,0.61015434186184,-7.12795092712007
"ILMN_1255365",0.104999508346608,7.58306750265518,0.823556162200447,0.435692473383126,0.61015434186184,-7.12802591807181
"ILMN_2770725",-0.103606184735852,7.29926960119957,-0.823525493312006,0.435708853204208,0.61015434186184,-7.12805208582797
"ILMN_1228132",-0.12285000135212,14.2277773324768,-0.823301850986649,0.43582831041997,0.610272315414761,-7.12824288065033
"ILMN_2634564",0.132824483174149,9.65308717991808,0.823217829491099,0.435873195910623,0.610285858646552,-7.12831455031894
"ILMN_1220174",0.171386946379693,7.72697601290271,0.823022223721164,0.435977703827828,0.610291806991156,-7.12848137687998
"ILMN_1235546",0.09850853445284,7.06361241934467,0.822996138547067,0.435991641892057,0.610291806991156,-7.12850362168205
"ILMN_2824098",-0.10581731579614,7.61608451484527,-0.822964618326765,0.436008484473982,0.610291806991156,-7.12853050057556
"ILMN_2882189",0.112504194580079,7.00415224628673,0.822883728319313,0.436051709492038,0.610291806991156,-7.12859947567006
"ILMN_2695199",-0.645369455864644,11.0013495746298,-0.82288035209616,0.436053513702123,0.610291806991156,-7.12860235446045
"ILMN_2617384",0.140534385660074,7.23716877763484,0.822760128057953,0.436117763273358,0.610332441480181,-7.12870485898463
"ILMN_1251333",-0.149678631502743,13.2064020483015,-0.822645097845405,0.436179243370056,0.610362893209178,-7.12880292350471
"ILMN_3060538",0.111773442480829,7.5906801229893,0.822548275038925,0.436230996858965,0.610362893209178,-7.12888545715474
"ILMN_1260389",0.138864077195761,7.41475095893868,0.822488523842935,0.436262937059994,0.610362893209178,-7.12893638620086
"ILMN_1213001",-0.132585153202603,9.49956174257161,-0.822455866707189,0.436280394730558,0.610362893209178,-7.12896422026986
"ILMN_1252757",0.145439797426733,7.96991159989466,0.822374890839751,0.436323684463966,0.610374184796593,-7.12903323300078
"ILMN_2699509",0.123535164615212,7.60199943969022,0.821967878655759,0.436541318747618,0.610629345860773,-7.1293800286255
"ILMN_2850198",0.121614236111288,7.32382343358177,0.821843096428676,0.436608056463506,0.610673410263015,-7.12948632093414
"ILMN_2725504",0.127274641107199,9.40964361709766,0.821681220858637,0.436694643547101,0.610745228156456,-7.12962419014139
"ILMN_2892222",0.132147113680924,14.2563599008233,0.8215348135972,0.436772966962636,0.610805478127124,-7.12974886551124
"ILMN_2842554",0.122493286522463,7.36934657914069,0.821372056889539,0.436860048332217,0.610877964954466,-7.12988744176384
"ILMN_1253312",0.128957835249198,7.15756681067852,0.820882209671895,0.437122209303116,0.611122880074579,-7.13030437516298
"ILMN_2690741",-0.107886148118858,7.17557142502531,-0.820866862822528,0.437130424543805,0.611122880074579,-7.13031743428095
"ILMN_1228004",0.108203545562249,7.33456713714247,0.820847142378178,0.437140981148495,0.611122880074579,-7.13033421472985
"ILMN_2657452",-0.099973459766078,7.14258399329623,-0.820488101621102,0.437333211306749,0.611342304013329,-7.13063966959903
"ILMN_1249691",0.152005623920241,10.1083939191863,0.820157510535533,0.437510261625206,0.611540474572663,-7.13092082226276
"ILMN_1217577",0.106181908100131,7.33698130639963,0.820038433984358,0.437574046121299,0.611545439764918,-7.1310220682922
"ILMN_2868457",-0.121382206517974,7.99825292571037,-0.820019131533181,0.43758438627458,0.611545439764918,-7.13103847923933
"ILMN_2422743",-0.116128369802897,7.31944915550277,-0.819845196214374,0.437677569573879,0.611626347225036,-7.13118634453858
"ILMN_2751354",-0.198865613050918,9.95466377923982,-0.819636292557339,0.437789504920328,0.61173344430978,-7.13136390240849
"ILMN_2744492",0.105992026306994,8.12894024062613,0.819356406953132,0.437939505268408,0.611893708949273,-7.13160173227145
"ILMN_2740053",0.132108643505481,9.84966892904215,0.819151941588576,0.438049107933222,0.611988402548926,-7.13177543172609
