"ID","Symbol","lung_normal_rep1","lung_normal_rep2"
72982,"Tmem138",7.86978660094578,7.39606955763987
72993,"Appl1",9.45150734914776,9.51529328393969
72999,"Insig2",8.69050495533992,8.65208513560089
73010,"Gpr22",7.2105495922314,7.2926092227643
73016,"Kremen2",6.94196459298614,7.33856926536143
73024,"Emc7",9.91037102854763,9.68264352028029
73046,"Glrx5",11.8199171110482,11.66289642079
73061,"Cldn34c1",7.54433661764111,7.53294028837287
73062,"Ppp1r16a",9.08048445706757,9.01564154469792
73067,"Tmem192",9.43594367000834,9.48943405426642
73068,"Fut11",7.51382627212914,7.44876160445001
73072,"Prr36",7.49872457303496,7.270382936871
73078,"Pmpcb",9.23284060284077,9.29399603927087
73086,"Rps6ka5",7.69807519498649,8.03139106060852
73094,"Sgip1",7.69921489380411,7.72702522260914
73095,"Slc25a42",8.01360183268346,7.8414070971946
73102,"Slc22a23",10.1461947484437,10.3372734501779
73103,"3110009E18Rik",9.90465343603479,9.74488638225365
73121,"Rflna",7.61277636822936,7.6090170955196
73122,"Tgfbrap1",12.3836148636671,12.3941997351885
73124,"Golim4",9.70992384731,9.81719353450707
73132,"Slc25a16",9.81668369704782,10.1805929643442
73137,"Prrc1",10.09938068822,10.1195653054513
73149,"Clec4a3",7.67879281161359,7.60240328437605
73166,"Tm7sf2",7.54638807764861,7.47937609116166
73167,"Arhgap8",8.55760647901095,8.55413552147323
73172,"Exo5",8.58087094683837,8.54602626719867
73178,"Wasl",11.9355126950088,11.8352584509614
73181,"Nfatc4",9.48712403430177,9.60390447274612
73182,"Pear1",7.46942983830583,7.43369308147661
73212,"3110082I17Rik",7.65611197726704,7.78596324707727
73218,"Sppl2b",10.337747324046,10.3160870376875
73225,"Fam118a",7.18716646584459,6.99392905237547
73230,"Bmper",8.15763115113428,8.74043431466517
73242,"Atat1",7.19192284523143,7.17223997110497
73247,"Mrgbp",7.24727483106392,7.32063134094811
73251,"Setd7",7.27653598042047,7.23618794426833
73261,"1700037C18Rik",7.48946928202114,7.6480072778822
73274,"Gpbp1",10.7861223110882,10.6747154061223
73284,"Ddit4l",9.30724350863838,8.91668189739438
73288,"Vps50",9.01443898650243,9.05778870260627
73296,"Rhobtb3",8.1993809548058,8.60318586634646
73297,"1700034I23Rik",7.18015780909854,7.00007044237402
73301,"Ttc29",10.341000312598,9.55307638830896
73316,"Calr3",7.40506787499227,7.46331243633723
