"","lung_tumor_myc_rep1","lung_tumor_myc_rep2","lung_tumor_myc_rep3","lung_tumor_myc_rep4","lung_tumor_myc_rep5"
"ILMN_2653881",8.905471623596,8.76858754470362,8.47387060513973,8.34941946434105,8.60077243973122
"ILMN_2638061",7.73538678289534,7.97292595315743,8.32181537993431,8.33077685821439,8.52270412079825
"ILMN_1252243",11.440752397999,11.9971287492697,11.9284767371013,11.4968412972732,11.5813712562129
"ILMN_2836586",8.57357618697455,9.2371203124618,9.44142045201006,8.95535930524299,9.18524712361924
"ILMN_1213681",8.40722792491408,8.5449523619971,8.77988347493664,8.23038076415297,8.44669563070984
"ILMN_2735413",7.51793999108709,6.99212402430596,7.61282243349561,7.68667560090965,8.08341284215748
"ILMN_2735415",7.97835295816514,7.33460849695124,7.78990038522761,7.72464174594756,8.01346225980656
"ILMN_2807229",7.53580996911988,7.56928601101847,7.53610148155589,7.51939054134796,7.29482174733526
"ILMN_2891688",10.1769678464299,10.5659112842378,9.5970399314483,10.0217954767241,9.723767585578
"ILMN_2637698",11.3054383526934,10.8284885841971,11.1664337979922,11.0705821976365,11.7803629055126
"ILMN_2674228",8.66731116318655,9.08580438027809,8.73301532168596,8.78361216525604,8.67337533376341
"ILMN_2758762",7.20866112806362,7.20371505425789,7.2128611165929,7.17417668445276,7.3968188150137
"ILMN_2932814",9.16520536276815,9.2312586878942,9.19710916285402,9.17370836313085,9.32962117521757
"ILMN_1245467",10.571243060361,10.6884251706619,10.3251297459488,10.3853771076927,10.7269418802467
"ILMN_2608985",6.85268555234858,7.19561827512308,6.64123893240647,6.67211590727951,6.49185309632967
"ILMN_2725876",7.18301500088276,7.09394568557658,6.88958001280613,7.15608307628868,7.03011533090807
"ILMN_1240839",7.23619362042353,7.29157363049077,7.97913934333115,7.84809474225669,7.12205144771389
"ILMN_2848071",7.27426166125705,7.54944777520414,7.32187173851161,7.26631805715745,7.09295529970608
"ILMN_1248518",6.87344411251538,7.10986329406886,6.77955521667791,6.93324804257236,6.98673089817565
"ILMN_2720925",10.9438837925,10.5247681896066,10.9607305190889,10.9025776730409,10.1148850945979
"ILMN_2658619",11.4055570026601,11.6596113156905,11.8820148856216,11.6336537079821,11.4026390482886
"ILMN_2682917",6.86201737686988,6.82599227516791,7.02389293406326,6.91692443142829,6.81922110355015
"ILMN_2972403",6.92818523635202,7.07908472049545,7.29174628083394,7.2252074369435,7.04446242716562
"ILMN_2973337",7.44914864537544,7.36388834689375,7.3934977170285,7.15804158620246,7.45989263358443
"ILMN_2705878",8.53795848992872,7.94580958490082,8.21931980185913,8.23843459611549,8.07275230055542
"ILMN_1226653",7.81502297736547,7.90437119476913,8.00453650412856,7.79250563078243,7.93282374491456
"ILMN_2604467",11.3509046602911,8.72041528490633,10.8297276893874,10.6105894555931,9.85804900851147
"ILMN_1225086",7.55065060250772,7.64552334227884,7.51456612840318,7.89663514130291,7.92031563370064
"ILMN_2727437",8.39389986946346,8.17423911581097,9.08968219415658,8.61319090268406,8.7102898632907
"ILMN_2628021",11.0340638466641,10.7877138461286,11.1513456122002,11.1924873956313,11.3955809928365
"ILMN_2793281",10.2947858568098,10.1722243418761,10.4587846687414,10.4954490869143,10.5009352186079
"ILMN_2603581",11.5205051215506,12.3382001462586,12.3678907702611,11.6645889470456,11.4144011607405
"ILMN_2729008",8.30338121242845,8.88659206071316,8.83255382072381,8.73699377152855,8.34458719193004
"ILMN_1234456",7.79362362878478,7.50833951138163,7.85980652788483,7.67516315591594,7.78320289006439
"ILMN_1256281",7.95406905092744,8.09257547145267,8.24195336625228,8.12886431700718,7.79624244820316
