"ID","Symbol","lung_tumor_myc_rep1","lung_tumor_myc_rep2","lung_tumor_myc_rep3","lung_tumor_myc_rep4","lung_tumor_myc_rep5"
277333,"Gm5069",9.57788903854758,10.474802318716,10.4674208712602,10.3662129150268,9.99947157253268
277345,"Wfdc16",6.92407018558534,6.87205919903182,7.26227105957241,6.93913840511203,6.82017896241519
277360,"Prex1",7.68306039856004,7.85739789170129,7.77647415771493,8.04818031981597,7.82829518779043
277414,"Trp53i11",7.51604470366333,8.22259870714811,7.62694099921522,7.49413055555866,7.87013349992735
277463,"Gpr107",8.92960979155716,9.06571904863602,8.89123309610651,8.8292668665599,9.1620293506934
277468,"Slc39a12",7.09050943706098,7.0991505277663,7.51638948662484,7.29479303498632,7.44607526123472
277753,"Cyp4a12a",7.18015780909854,7.19324812943914,6.7733865046732,7.08314687081674,6.81838245504116
277854,"Depdc5",7.39663579727861,7.79546254071503,7.70477536848276,7.56470380084718,7.50538005868607
277939,"C2cd3",8.40566003794268,8.82470024113729,9.05083496112147,8.59550226187677,8.26056675336016
277978,"Exoc3l",7.29168873301523,7.24943941517724,7.45671376057552,7.35848637483171,7.35441469276118
278180,"Vsig4",7.65852391381049,7.61824783394981,7.20603754624659,8.4003991693928,7.37864708630496
278240,"Spin2c",7.38973887867698,8.39473062943157,7.49220370876691,7.54353938169586,7.48401725691557
278279,"Tmtc2",8.12389506502877,8.0212923270099,8.7515440590891,8.45339925657933,8.88397967380875
278304,"Zfp385c",7.38855550398256,7.57860856073775,7.40620500541885,7.40055927612089,7.53264813641787
279028,"Adamts13",7.15099456784314,7.05404484944802,7.00401993523678,6.85004332929604,6.71804827246747
279499,"Kctd19",7.65575431014422,7.22339841471163,7.07122770441043,7.27670601989243,7.63344937471349
279572,"Tlr13",8.00573568485741,7.86804345897112,7.37108447717272,7.59851156643912,8.57382084143354
279766,"Rhbdd3",7.29168873301523,7.52243441005129,7.81666369975016,7.71192503546306,7.93935882654928
280287,"Kiss1",6.98384867402245,7.29076765558663,7.29576893442051,7.39360496863922,7.19555676212754
280408,"Rilp",9.5968769229532,7.68855630290124,9.51288857584104,9.64543327516426,9.09074098009746
280645,"B3gat2",7.09050943706098,7.35779939680816,7.20701432017753,7.12049709844425,7.25121609696524
280662,"Afm",6.9174093772119,6.69766263347052,7.53047949422192,6.75125113882976,6.90974310767542
282619,"Sbsn",7.32652292797265,7.21589514368767,7.5106624673604,7.41970981117225,7.17525544413942
317653,"Klk14",7.19761602104914,7.46755460656207,6.98078221940622,7.42516344070766,7.09993949649994
317677,"C1s2",7.37759013703221,7.18716646584459,7.00534384191779,7.19149109450521,7.40093278940217
317717,"Sec22a",8.04510558680047,7.786363218828,7.75935873622855,7.86836273752851,7.76601830068578
317757,"Gimap5",7.16062943056846,7.11338560800308,7.04271961927858,7.25593484376983,7.48934633475336
317758,"Gimap9",7.63131349581954,7.34911532870332,8.83192077340184,8.09585850589043,7.53940117902811
319146,"Ifnz",7.20744145090522,7.46081422176028,7.02838957764493,7.28831818425654,7.10191003273903
