"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2733290",-0.0519858952325647,6.59858951278937,-0.382989486325832,0.711618671602579,0.914317990982989,-7.20478844622143
"ILMN_2470287",-0.181674521227116,7.16377297478784,-0.382875418239237,0.711699995449605,0.914370336857789,-7.2048364373463
"ILMN_2641484",-0.0896539751257119,7.04394636252145,-0.382642655917292,0.711865953477922,0.914531405964823,-7.20493432316662
"ILMN_2723438",-0.131265150790599,9.1575592942475,-0.3825854902336,0.711906714736391,0.914531626074783,-7.20495835483293
"ILMN_2612369",0.286241410856281,10.6358143740921,0.382464076369521,0.71199329060142,0.914532961618426,-7.20500938406465
"ILMN_2766469",0.123680662953882,6.88172241815227,0.382429285648805,0.712018099432723,0.914532961618426,-7.20502400343492
"ILMN_2625167",0.307683505375584,9.62027505458483,0.382413264088158,0.712029524331385,0.914532961618426,-7.20503073540596
"ILMN_2781153",-0.0755819442776895,6.72745666612376,-0.382307199274996,0.712105160593898,0.914545628143338,-7.20507529506943
"ILMN_1236700",0.279243103837757,7.46362439431737,0.382285595121509,0.712120567225011,0.914545628143338,-7.20508436988707
"ILMN_2741601",-0.0546490901113978,6.44130385362409,-0.381954995133478,0.712356346447542,0.914796286224541,-7.20522317662009
"ILMN_2857095",-0.347201385357137,7.67751947062842,-0.381842735259454,0.712436416074459,0.91484696743267,-7.20527028405957
"ILMN_2697361",0.102281093094691,7.19302984239362,0.381642326973201,0.7125793671895,0.914970905297371,-7.20535434788384
"ILMN_2533751",-0.216744006493144,8.00410200492966,-0.381593564243094,0.712614151442824,0.914970905297371,-7.20537479559838
"ILMN_3161404",-0.244017378067841,7.42748805521754,-0.381401732677702,0.712750998905714,0.915094464433566,-7.20545521202717
"ILMN_2603539",-0.175533063368988,7.12756867914824,-0.381291174078532,0.712829873449,0.915105652274706,-7.20550154084425
"ILMN_2627205",0.10969324487868,7.92235787136994,0.381275657262807,0.712840943725239,0.915105652274706,-7.20550804202206
"ILMN_2713586",-0.138806948381155,8.37327931143331,-0.381172258985558,0.712914713766635,0.915112514831674,-7.20555135693269
"ILMN_2818964",-0.187245626963865,7.30651480223448,-0.381058372783391,0.712995970187794,0.915112514831674,-7.20559905226126
"ILMN_1214937",-0.26751636535281,10.7498451713107,-0.381044353990621,0.7130059726952,0.915112514831674,-7.20560492235528
"ILMN_3154269",0.104181384802116,6.68872532028337,0.381040458324261,0.713008752291067,0.915112514831674,-7.20560655355204
"ILMN_1259068",0.23059425842693,12.4364924852628,0.380972270908413,0.713057405413647,0.915122829880091,-7.20563510244058
"ILMN_2979257",-0.133762653052759,6.90806028607679,-0.380835934638016,0.713154688328628,0.915195550648306,-7.20569216929577
"ILMN_1229286",0.313720888597061,7.68922043616473,0.380774887204091,0.713198250608661,0.915199327056826,-7.20571771579517
"ILMN_1242159",-0.235529530173132,7.70642045726765,-0.380582897789732,0.71333525786523,0.915296554217464,-7.20579803179517
"ILMN_2629329",-0.0660539863171463,6.87290754002158,-0.380440674797113,0.713436757994544,0.915296554217464,-7.20585750353893
"ILMN_1253541",-0.072897629161397,7.01866175691464,-0.380381585630606,0.713478929879226,0.915296554217464,-7.20588220586749
"ILMN_2614322",0.0540617839264819,6.60943145175872,0.380375532424642,0.713483250105947,0.915296554217464,-7.20588473621174
"ILMN_2417945",-0.1284262540344,8.18655239971954,-0.380339580282775,0.713508909694421,0.915296554217464,-7.20589976402525
"ILMN_2516338",-0.284341314470437,7.47604989705297,-0.380327178352168,0.713517761230106,0.915296554217464,-7.20590494765168
"ILMN_1224413",-0.0853696721589321,6.70460835707072,-0.380020782084882,0.713736457744274,0.915488887534826,-7.20603296011476
"ILMN_2597827",-0.0554336219449025,6.65647542823635,-0.37998175575899,0.713764315590558,0.915488887534826,-7.20604925818115
"ILMN_2627299",-0.111365188102585,10.5524171638204,-0.379946346969305,0.713789591554937,0.915488887534826,-7.20606404410493
"ILMN_1216007",0.260290518245279,12.1750026650799,0.379769921092864,0.713915535772158,0.915598300118538,-7.20613769581924
"ILMN_1241610",0.140153660197484,7.48161293676124,0.379678683332121,0.713980670850546,0.915629716827005,-7.20617577148943
"ILMN_1252528",-0.112385981647462,6.80151984385418,-0.379545489837749,0.714075762803306,0.915699545345548,-7.20623134042992
"ILMN_1245389",0.104059602975414,7.08867494036573,0.379385192401173,0.714190212340024,0.915750646124518,-7.2062981923186
"ILMN_1244866",0.0755058478813995,6.65504011571041,0.379357778234053,0.714209786340536,0.915750646124518,-7.20630962264187
"ILMN_1253198",0.0552606076181172,6.72721911317375,0.379318903036487,0.714237544021399,0.915750646124518,-7.20632583026977
"ILMN_2706514",0.111992623327248,6.74252152867772,0.379226661963851,0.714303407829734,0.91576129607438,-7.20636428048474
"ILMN_2847502",-0.132607778233428,7.31057919210144,-0.379193427159367,0.714327139430439,0.91576129607438,-7.20637813203041
"ILMN_1258830",-0.198761427281328,7.56910907482898,-0.379041684106264,0.71443549707091,0.915794531693667,-7.2064413603612
"ILMN_2617820",-0.0716471297807502,7.33369701014097,-0.378969360202973,0.714487145003863,0.915794531693667,-7.2064714877096
"ILMN_2743668",-0.172985555063149,8.48093288126835,-0.378868774340967,0.71455897796054,0.915794531693667,-7.20651337867778
"ILMN_2754561",-0.202422460225513,7.17948688168246,-0.378856484823071,0.714567754673642,0.915794531693667,-7.20651849615459
"ILMN_1250696",0.0541313960273593,6.77222227106855,0.378792719828656,0.71461329396736,0.915794531693667,-7.20654504595745
"ILMN_2890762",-0.224672340989727,7.29599302865072,-0.378766225487269,0.714632215891254,0.915794531693667,-7.20655607612675
"ILMN_2732090",-0.275723942505683,7.6538186732782,-0.378534966122842,0.714797387309437,0.915794531693667,-7.20665232280999
"ILMN_1219581",-0.207575617722135,7.09007997063188,-0.378507659096851,0.714816891747751,0.915794531693667,-7.20666368384091
"ILMN_2637742",-0.129846810594024,6.89534814783341,-0.378383385109833,0.714905659052465,0.915794531693667,-7.20671537778291
"ILMN_2633726",0.057241930227562,6.50680881926652,0.378374039735499,0.714912334519088,0.915794531693667,-7.20671926449286
"ILMN_2678530",-0.191745029851656,7.11575116075616,-0.378364677820294,0.714919021827109,0.915794531693667,-7.20672315798922
"ILMN_2710449",-0.286356252165112,11.1652679623094,-0.378352110630098,0.714927998735677,0.915794531693667,-7.20672838437078
"ILMN_2838629",0.0829608146343226,7.35204169804472,0.378305934145807,0.714960983608034,0.915794531693667,-7.20674758658254
"ILMN_2709585",-0.160211443073342,9.76523501484183,-0.378294352214738,0.71496925693445,0.915794531693667,-7.20675240250377
"ILMN_2675029",0.286962584772748,7.66714717500459,0.378255290011838,0.714997160551893,0.915794531693667,-7.20676864403894
"ILMN_2749695",-0.0976410595963602,6.62241789337759,-0.378235590776782,0.715011232637553,0.915794531693667,-7.20677683410031
"ILMN_2458545",-0.0572043212636917,7.04781145193139,-0.378189656557628,0.715044046050108,0.915794531693667,-7.20679592989642
"ILMN_1217369",-0.107263389232342,7.27277598992934,-0.378102998974158,0.71510595218069,0.915821759141882,-7.20683194913565
"ILMN_3145415",-0.378828900701448,9.59289134311986,-0.377944205002905,0.715219396655669,0.915914983860911,-7.20689793120477
"ILMN_2693612",-0.112885316934785,6.81293794429311,-0.377650896138157,0.715428960086714,0.916126785758979,-7.20701973656694
"ILMN_2610679",-0.202445347230574,7.23099357834565,-0.377598904311598,0.715466109902578,0.916126785758979,-7.20704131822014
"ILMN_2749595",0.0861152505145597,7.96859925782054,0.377427282764984,0.715588744680521,0.916201480977642,-7.20711253745879
"ILMN_2613738",-0.265224346857092,8.08203019880956,-0.377373032679377,0.715627511726758,0.916201480977642,-7.20713504357366
"ILMN_1215080",0.0773913430584452,7.49015050206151,0.377256756465123,0.715710605522901,0.916201480977642,-7.20718327124334
"ILMN_1220446",-0.137051023693054,8.05715321916505,-0.377218375908033,0.715738034081431,0.916201480977642,-7.20719918712691
"ILMN_1217855",0.376860957759778,7.49239953627396,0.377137921479782,0.715795532038387,0.916201480977642,-7.20723254538803
"ILMN_1243340",0.060360197757908,6.69522302848825,0.377037546341873,0.715867269329138,0.916201480977642,-7.20727415360548
"ILMN_2766096",-0.258260573394901,7.04471078095013,-0.377014995300683,0.71588338678652,0.916201480977642,-7.20728350015311
"ILMN_2812935",-0.11505781900677,11.1525851105495,-0.377010492928311,0.715886604695748,0.916201480977642,-7.20728536615035
"ILMN_2859348",-0.107936843881985,7.62611123396364,-0.377005153498582,0.71589042086953,0.916201480977642,-7.20728757903608
"ILMN_1224430",-0.245073853752267,7.22257051810912,-0.37681390594575,0.716027114074814,0.916262003033218,-7.20736682017217
"ILMN_2837189",0.147962978595571,9.06293711432107,0.376696656287207,0.716110923045876,0.916262003033218,-7.20741538197495
"ILMN_2984012",0.138883567472657,8.46675285793961,0.376675539872966,0.716126017297898,0.916262003033218,-7.20742412630216
"ILMN_1241214",-0.0652801701608086,6.56678966045898,-0.376661151456642,0.716136302376783,0.916262003033218,-7.20743008428799
"ILMN_1224092",0.138371428668124,7.22006031383632,0.376609045154003,0.716173549342218,0.916262003033218,-7.20745165873751
"ILMN_3060538",0.109527181505166,7.34992303308351,0.376597627325321,0.716181711216458,0.916262003033218,-7.20745638586846
"ILMN_2840492",-0.315423679470964,7.58869728158231,-0.376388328678229,0.716331332277431,0.916358404180322,-7.20754301374417
"ILMN_1228464",-0.246993463104042,7.35040129035771,-0.376340656502917,0.716365413446168,0.916358404180322,-7.20756273856727
"ILMN_1236624",-0.234611388744241,9.92282717922186,-0.376295020092112,0.716398039865469,0.916358404180322,-7.20758161881357
"ILMN_2890019",0.0607533977696706,6.66146082544021,0.376253234842256,0.716427913552433,0.916358404180322,-7.20759890385712
"ILMN_2656604",-0.17445030344007,7.14219922364336,-0.376207772547679,0.716460416672165,0.916358404180322,-7.20761770785602
"ILMN_2495299",-0.12134842691455,6.81642728951706,-0.37613452638401,0.716512785070357,0.916373364387819,-7.20764799913436
"ILMN_1257729",0.102564408502274,7.20758161872767,0.375971871177916,0.71662908344787,0.916453571108019,-7.20771524555984
