Name,Gene
mSE_10131,Gcnt2
mSE_10132,Socs3
mSE_10133,Bcl3
mSE_10134,Nsd1
mSE_10135,Ubxn7
mSE_10136,Fignl1
mSE_10137,Myh9
mSE_10138,Zfp217
mSE_10139,Arntl
mSE_10140,Rhof
mSE_10141,Etnk1
mSE_10142,Fam38a
mSE_10143,P4ha2
mSE_10144,Rbpms
mSE_10145,Slc2a3
mSE_10146,Slc25a12
mSE_10147,Cmklr1
mSE_10148,Bcas2
mSE_10149,Mycn
mSE_10150,Kctd16
mSE_10151,Rps6ka1
mSE_10152,Btbd11
mSE_10153,Hspb8
mSE_10154,9030409G11Rik
mSE_10155,Bcl2l1
mSE_10156,Zbtb34
mSE_10157,Cbx7
mSE_10158,Sp1
mSE_10159,Itpr3
mSE_10160,Snord17
mSE_10161,Mir1190
mSE_10162,Ranbp17
mSE_10163,Rest
mSE_10164,Rbx1
mSE_10165,Myh9
mSE_10166,Trim8
mSE_10167,Hnrnpl
mSE_10168,Srsf1
mSE_10169,Gm10565
mSE_10170,Sept9
mSE_10171,Trak1
mSE_10172,Prdm14
mSE_10173,Ftl1
mSE_10174,Fgf4
mSE_10175,Polr2e
mSE_10176,Kdm5b
mSE_10177,Lsm4
mSE_10178,Zmynd8
mSE_10179,Brd1
mSE_10180,Sesn2
mSE_10181,Enc1
mSE_10182,G630016D24Rik
mSE_10183,Agtrap
mSE_10184,Pim3
mSE_10185,Klf3
mSE_10186,Zfp710
mSE_10187,Gm9104
mSE_10188,S1pr2
mSE_10189,Slc3a2
mSE_10190,Itpk1
mSE_10191,Dst
mSE_10192,Gadd45b
mSE_10193,Rcc2
mSE_10194,Hs6st1
mSE_10195,Zbtb8a
mSE_10196,Cbfa2t2
mSE_10197,Gm1631
mSE_10198,Zfp64
mSE_10199,Arid5b
mSE_10200,Tmprss12
mSE_10201,Ints3
mSE_10202,Tdh
mSE_10203,Mir291b
mSE_10204,Dst
mSE_10205,Atf7ip
mSE_10206,Reep3
mSE_10207,Fam13c
mSE_10208,Jam2
mSE_10209,Txnip
mSE_10210,Gpr107
mSE_10211,B3gnt7
mSE_10212,Xbp1
mSE_10213,Cd9
mSE_10214,Mta3
mSE_10215,Krt42
mSE_10216,Erf
mSE_10217,Rapgef1
mSE_10218,Nfe2l2
mSE_10219,Casz1
mSE_10220,Fntb
mSE_10221,Ccnd3
mSE_10222,Fem1b
mSE_10223,Chd2
mSE_10224,Gse1
mSE_10225,Fgfr1
mSE_10226,Tor3a
mSE_10227,Daxx
mSE_10228,Tanc1
mSE_10229,Gm4971
mSE_10230,Sulf2
mSE_10231,Sh3bgrl3
